"Astrocyte_on","IT_on","L4.IT_on","L5.6.IT.Car3_on","L5.6.NP_on","L5.ET_on","L6.CT_on","L6b_on","LAMP5_on","Microglia_on","Oligodendrocyte_on","OPC_on","PAX6_on","PVALB_on","SST_on","VIP_on","Astro","GABAergic","Glutamatergic","Microglia","Non.neuronal","Olgio"
"FAM177A1","HMGCLL1","PAN2","NBR1","BRD7","VPS51","COA6","SPICE1","COG3","TSPYL4","TCEB1","MTHFD2L","C5orf51","MAP3K5","NDUFS4","API5","MT1XP1","HAPLN4","LOC105372267","LOC646665","LOC283299","PLEKHG4B"
"L3HYPDH","PCNT","RPS5","ADCY6","BCO2","TUBG2","GRIK4","ND4","TOR1AIP2","FTCDNL1","MORN4","ERBB4","GMCL1","PHKG2","SLC12A6","TCTEX1D2","SLC38A8","ACRV1","LOC105379259","SOCS2","LOC105375421","RDH10"
"RNF220","MARCH4","CACUL1","LRP1","ST6GAL1","TBP","MRE11A","GABARAP","TMEM150C","FAM76B","LIMS1","FAM173B","IFNAR2","WWC2","MFSD4","UQCR10","GUCY2EP","LOC100421868","LOC105377785","ATG9A","TUSC2","GATA3"
"ERLEC1","DSTN","EEA1","NUP210","HNRNPA3","RSAD1","DHX57","PALM2.AKAP2","POLR2J4","DGUOK","ITM2C","COX5A","USP13","RPL13","LINC00630","BCL2","ANXA3","ZNF815P","ARGFXP2","COPG1","LOC105369454","KLHL26"
"DHRS7B","ST8SIA3","CALCOCO1","LOC100507577","LINC00883","PRRC2A","MAP3K7","CLSTN2","DDHD2","NEFL","MCPH1","DNER","MTMR2","ABCE1","KATNAL1","RANBP2","MTPAP","VILL","FAM175A","LOC105372781","RNF5","LOC102724364"
"COPS2","CEBPZ","NCK1","NPHP1","UBE4B","STIM2","IFT74","SFTA1P","STARD3NL","CRIPT","AP4E1","SUPT20H","TTC5","METTL10","KIAA1033","TMEM245","FAHD2CP","LOC105377862","LOC105370412","ZMAT2","C10orf2","LOC105372745"
"EEA1","LINC01322","ARHGEF2","JPH3","NUP160","LPCAT3","GGCT","NARF","USP46","WASL","PSMA7","NBPF3","TTC39B","CLUAP1","HCG18","LOC101927080","ALDH9A1","CCNB1IP1","C17orf70","C16orf70","IMPA1P","PRPF6"
"ND4","TRIP11","RASA3","ARG2","OSBPL10","SEC14L1","RAB26","DDX51","HNRNPA3","ZNF529","SMARCC2","MTSS1","DENND5A","CAPRIN1","APIP","LOC284581","IL6STP1","LOC105373794","IFRD2","ZSCAN32","LOC100506532","ZFP57"
"SYT17","MAP1A","RAD23A","WDFY1","NMNAT3","LOC105378404","SYT17","GDPD1","PTK2B","LOC105370303","CDON","FAM134A","PIP5K1B","ZFC3H1","GFPT1","MRPS22","ZCCHC24","LOC105371037","HMGA1P2","LOC105370353","LOC101927756","LOC102725044"
"CDC5L","NIM1K","SETD3","PRRC2B","ZNF718","LOC101928961","UTP6","ZNF667.AS1","PIP4K2C","LOC105376423","NNT","KIAA1456","ZNF804A","KLF12","TMCO1","PLCH1","UBL7.AS1","BCL2L2.PABPN1","GLUD1P3","LOC105378422","VASH2","LOC105372395"
"DLC1","CHIC1","KIAA1045","CCDC148","CREBRF","EPB41","COMMD2","RPN2","NGEF","ILDR2","ZBTB11","SCCPDH","LOC105377574","TRANK1","GPC6","INTS2","DCAF17","SPX","LOC102724265","LRRC72","CPT1A","SMG1P4"
"DGCR2","PALLD","PNMA3","CHST11","UQCRC1","CRELD2","LOC105373657","AP1G2","SMARCC2","SEC61B","GNB2L1","ASCC1","PTCHD4","RPAP2","PSMG2","ANKFN1","ZNF554","EAF2","LST1","LOC645853","ZNF213","LOC105372117"
"NADK2","TMEM150C","KDM3A","PNMA1","GMPS","TF","STK38","SMU1","CAMK4","LOC100506922","SUGT1","SEPT4","PTCH2","ITGB1","OMG","PRPF8","LOC102723418","LOC105378197","LOC105371322","FDX1P1","DKFZP434I0714","VWFP1"
"YWHAQ","LOC401320","MRPL30","LOC102723654","TIMM23B","ALCAM","RARS2","ZNRF2","MARCH4","ZDHHC23","RPS27L","SFMBT1","LUZP1","RASGRF2","RPL13","FBXO33","LOC105379361","LOC105376807","XPNPEP1","LINC01176","LOC100128364","TMED5"
"SLC25A13","RNLS","TCP1","EPS15L1","CHUK","SCAMP3","MRPL32","VPS29","ARPC5L","LOC105374509","CMAS","AMN1","CDYL2","SLIT2","TAF11","CPLX2","PYGO2","LOC102723761","RTBDN","LINC00871","DAZAP1","LOC100421472"
"UMAD1","RSRC2","TMEM43","CNOT7","SMAD9","NKAP","CMC1","POLB","ST8SIA3","BLOC1S6","MSMO1","RYBP","HAT1","ME2","SENP2","GABRA2","DHX58","CDKN2AIP","LOC105378751","LOC105378115","TMED7","LOC105373246"
"SDCBP","RPS6KA5","FSIP1","EIF3K","TMEM65","PCSK7","VRK1","UQCR10","FRG1B","PDZRN4","BMP2K","CNTNAP4","KLHL8","PFKM","KIAA1279","NGLY1","BSN.AS2","KANK3","GOLPH3L","LAMTOR2","LOC105379013","LOC102724373"
"COX2","STARD3NL","THSD7A","SYNPR","CEP63","LTN1","LUZP2","TUG1","PCDH17","PDZD8","LOC643962","LINC01551","VPS9D1","LACE1","RNASEH2B","FSTL5","ZNF367","LOC105376548","ZNF426","LOC101929270","PSMA2","NYNRIN"
"ADNP","NSL1","ANAPC1","LRRK2","SEC24D","SORCS2","KCNMB4","ADAMTS3","ZNF804B","NDFIP2","NKAIN3","GPR176","PRKAR2A","MIPEP","MTMR6","GUCY1A3","NOM1","LOC105374543","PNCK","RUVBL1","NOA1","PAX3"
"H3F3B","CAPS2","GLIS3","CHD3","GRK4","ZNF732","GCA","AARS","CEP97","CCBE1","C4orf3","SPATA5","G3BP2","HMGB1","PSMA5","SAR1B","PDLIM4","HORMAD2","WDFY4","LINC00508","LOC105377372","RND3"
"ABAT","SPATA5","GPR63","PTCD3","RAB3IP","GSN","ERICH3","AP3B2","COL16A1","CHST9","TMEM192","AFF2","NEK10","GFPT2","PDE1A","PPP3CB","LOC105373848","KPTN","LOC105378220","DERA","LOC100419888","RASSF8"
"MRPS21","KIF3C","GGNBP2","C16orf45","CCDC148","UPF3B","METTL8","ARHGEF28","ARPC2","PSTK","PTPN13","GAB2","RASGRF2","FGF13","IQSEC3","GALT","UACA","FBXW4P1","SERHL2","GRM7.AS1","PXYLP1","CITED2"
"WDFY2","INTS3","MITD1","LOC100288798","KCNA2","CBLL1","RIMKLB","TTC8","ARL3","ASNS","PIK3R3","ADNP","MAP7D2","SKIL","RAB22A","ADAM17","MFSD3","LOC105369495","LOC105370855","SLC31A2","C1orf95","PROCR"
"PIP4K2A","LGALS8","SLC41A1","CNIH1","COMMD7","ZNF573","CERS4","URB1","EIF1AX","SEMA3A","CHN2","KCNT1","SLC41A3","ZC3H7A","TMEM14A","PDE7B","SLC7A11","CCRL2","LOC105370785","DPH2","LOC105371668","SLC5A8"
"MRPS31","IPO7","LINC01470","LHFPL3","CREB5","VPS11","PTCHD1","TMSB10","SYNPO2","SLC6A15","PYGB","CNTRL","TSHZ3","SERGEF","SS18","VSTM2A","C10orf54","SLC24A4","APOA1","LOC105379181","LOC105373043","LOC105369927"
"CHRD","ZNF273","PSMD13","NISCH","HTR2A","DLEU2","DNAH6","COG1","FHL2","KIAA0556","RPL31","SERINC5","CNTN6","CCDC93","CNNM3","BEX2","CCDC120","CCDC136","PHYH","RPL11P1","LOC105371559","MRO"
"SAR1B","LRRN3","CCDC28A","SNRPN","LOC441242","KBTBD2","EIF1AX","HMGCR","LGALS8","C6orf163","SERP1","GPR89B","LINC01470","SH3BGRL","XPC","FAM78B","IL17RD","PHKG2","LRRFIP1P1","LIPH","AGR2","FLJ43315"
"PARD3","ZNF331","CRNKL1","FRMD3","FAM222B","CACNG7","APIP","PFKP","ITM2C","ROGDI","PNPLA8","DIP2A","HMGXB4","SLX4IP","PCDHB.","INTS8","LOC105372146","LOC105373836","MGAT4B","PCED1A","SLC26A4.AS1","POP7"
