gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,group
SLC5A6,0.427778189,0.740636576,0.571,0.443,1,NO
FAM189A2,0.363536247,0.740031897,0.343,0.214,1,NO
TOPORS-AS1,0.095203345,0.740031897,0.657,0.271,1,NO
FAM192BP,NA,0.740031897,0.2,0.057,NA,NO
CWC15,0.002813445,0.73981319,0.957,0.657,1,NO
NDUFB11,0.056124068,0.739624022,0.957,0.557,1,NO
PBX2,0.17706454,0.739539538,0.243,0.186,1,NO
FILIP1L,0.036319728,0.739274698,0.6,0.286,1,NO
FBXO5,NA,0.73858569,0.2,0.157,NA,NO
SF3A1,0.005361585,0.738527798,0.871,0.571,1,NO
UFC1,0.070001529,0.738306446,0.914,0.657,1,NO
GRIP1,0.883244903,0.737735293,0.914,0.857,1,NO
MRPL24,0.011314668,0.73746043,0.629,0.371,1,NO
EBF2,0.030364203,0.736965594,0.214,0.257,1,NO
OACYLP,0.038719743,0.736965594,0.229,0.043,1,NO
SETP10,0.149571977,0.736965594,0.129,0.014,1,NO
POFUT1,NA,0.736965594,0.457,0.257,NA,NO
TFCP2L1,NA,0.736965594,0.286,0.243,NA,NO
MEPCE,0.042130442,0.73649787,0.657,0.329,1,NO
FBL,0.072340514,0.73632067,0.771,0.371,1,NO
C7orf55,0.094669738,0.735927311,0.614,0.243,1,NO
SRP72,0.007339892,0.735804672,0.943,0.786,1,NO
LPA,NA,0.735584364,0.271,0.286,NA,NO
MRPS15,NA,0.735313158,0.829,0.414,NA,NO
ZBTB37,NA,0.73459858,0.2,0.086,NA,NO
ANKLE1,NA,0.734476042,0.129,0.114,NA,NO
TIMM13,0.048811949,0.734172379,0.857,0.5,1,NO
KRT7,NA,0.73410594,0.143,0.071,NA,NO
ECHS1,0.002178094,0.733807477,0.943,0.629,1,NO
ZNF358,0.050135054,0.733791346,0.629,0.3,1,NO
SFRP1,0.019746859,0.733719935,0.2,0.129,1,NO
SLCO1B3,0.009151676,0.733485025,0.186,0.171,1,NO
IL7R,0.239155877,0.733485025,0.1,0.029,1,NO
ROS1,0.317003941,0.733459651,0.286,0.214,1,NO
FLOT1,2.52E-06,0.733283486,0.986,0.914,0.085222797,NO
HIVEP3,0.00018504,0.733277898,1,0.943,1,NO
MRPS7,0.062387939,0.733092585,0.8,0.529,1,NO
CCL17,0.044769786,0.73306114,0.314,0.129,1,NO
BST1,NA,0.732414502,0.229,0.1,NA,NO
ANKRD35,NA,0.732258591,0.3,0.243,NA,NO
EIF2B1,0.114156304,0.73130574,0.771,0.471,1,NO
MRPL36,0.043510397,0.731259476,0.7,0.371,1,NO
CECR2,0.272313433,0.731226372,0.729,0.8,1,NO
HELB,NA,0.731183242,0.286,0.214,NA,NO
LINC00836,0.492012744,0.731064993,0.271,0.286,1,NO
WDR83OS,0.127589658,0.730866567,0.914,0.686,1,NO
RAD51B,0.001792609,0.730749751,0.914,0.814,1,NO
AIMP2,0.088482629,0.729577343,0.586,0.429,1,NO
FPGS,0.00889852,0.729310621,0.714,0.586,1,NO
TMEM120A,0.146547045,0.729235866,0.557,0.371,1,NO
ATP6V0B,0.000334583,0.729048077,0.986,0.929,1,NO
PSMD10,0.058869753,0.728918086,0.514,0.257,1,NO
PHBP2,0.321038672,0.728697978,0.114,0,1,NO
GNL3LP1,NA,0.728248377,0.143,0.114,NA,NO
EIF3M,0.036967864,0.727406766,0.914,0.743,1,NO
DMBT1P1,NA,0.727379545,0.1,0.1,NA,NO
TEKT1,NA,0.726981506,0.143,0.086,NA,NO
NID1,NA,0.726769827,0.329,0.357,NA,NO
LIG1,0.033117888,0.726742734,0.786,0.586,1,NO
RAB5A,0.000399625,0.72641105,0.929,0.871,1,NO
BRSK1,0.005978073,0.726337958,0.571,0.5,1,NO
YIF1A,0.014648835,0.726239188,0.657,0.243,1,NO
C14orf79,0.022827663,0.726138564,0.386,0.214,1,NO
TNIP2,0.00421182,0.726036034,0.629,0.329,1,NO
ATG3,0.111748553,0.725359693,0.771,0.643,1,NO
LINC01500,NA,0.725267073,0.486,0.443,NA,NO
IMPDH1,0.033061446,0.724853779,0.586,0.429,1,NO
VPS25,NA,0.724829287,0.529,0.157,NA,NO
HMGB3P4,NA,0.724765141,0.171,0.029,NA,NO
BNIP2,NA,0.724380411,0.943,0.614,NA,NO
RPS26,0.001536507,0.724219873,1,0.929,1,NO
TNN,0.245816051,0.724026538,0.257,0.143,1,NO
KLKB1,0.227249892,0.723938914,0.257,0.171,1,NO
KLF2,0.085418913,0.723735284,0.457,0.286,1,NO
NEDD8,NA,0.72358904,1,0.729,NA,NO
MTUS1,0.379189786,0.723516034,0.643,0.514,1,NO
RNVU1-7,NA,0.723482365,0.129,0.029,NA,NO
NACA3P,0.000142871,0.723290657,0.657,0.257,1,NO
UBTD2,NA,0.723260679,0.771,0.5,NA,NO
SLC4A7,0.007907539,0.723175887,0.871,0.886,1,NO
FAM120AOS,0.005763142,0.722672645,0.9,0.771,1,NO
MVK,0.352025043,0.722015253,0.343,0.214,1,NO
RPS18P12,0.002769834,0.721283972,0.4,0.043,1,NO
MS4A4E,0.061512618,0.721283972,0.143,0.057,1,NO
MAEL,0.381811385,0.720973561,0.329,0.229,1,NO
ARRDC2,0.134177586,0.720957718,0.614,0.357,1,NO
GC,NA,0.72038271,0.271,0.114,NA,NO
AIP,0.105547367,0.719548541,0.643,0.443,1,NO
TCEA1P2,0.004777379,0.719322633,0.657,0.471,1,NO
RAB1A,5.19E-05,0.71922955,1,0.971,1,NO
ZBTB24,NA,0.719206748,0.571,0.314,NA,NO
TMEM147-AS1,NA,0.719099173,0.143,0.071,NA,NO
ECHDC1,0.164238467,0.718964336,0.757,0.614,1,NO
LINC00670,NA,0.718818247,0.157,0.143,NA,NO
CAPN6,NA,0.718486174,0.371,0.371,NA,NO
DENND5B-AS1,NA,0.718486174,0.314,0.229,NA,NO
ADIRF,0.201258969,0.718165887,0.471,0.243,1,NO
SDK1,0.027692052,0.718005654,0.943,0.9,1,NO
HOMEZ,NA,0.717964632,0.214,0.071,NA,NO
APOC1P1,0.048335578,0.717856771,0.214,0.043,1,NO
GSS,0.079217185,0.717779568,0.786,0.5,1,NO
RAD23A,0.006669522,0.717672608,0.957,0.857,1,NO
AK9,0.012096056,0.717665038,0.843,0.757,1,NO
CHEK2,0.078571477,0.717499772,0.4,0.257,1,NO
AATF,0.005450206,0.717178972,0.857,0.686,1,NO
DNAJC15,0.01497983,0.717163076,0.843,0.571,1,NO
ARPC1A,0.00468745,0.717049471,0.957,0.786,1,NO
MEMO1P1,0.007285215,0.716827949,0.414,0.229,1,NO
CABP5,NA,0.716752373,0.186,0.114,NA,NO
VAPA,0.001780336,0.71658098,0.986,0.9,1,NO
PSMG3-AS1,NA,0.716501492,0.371,0.214,NA,NO
CCDC51,0.023666979,0.716483333,0.9,0.571,1,NO
JRKL,0.12758606,0.716355314,0.243,0.214,1,NO
TSR3,0.157296268,0.716207034,0.7,0.386,1,NO
PLEKHB1,0.593778462,0.716074415,0.786,0.457,1,NO
ARHGAP18,0.104242238,0.71600446,0.7,0.414,1,NO
ZBED3,0.070320944,0.715980569,0.471,0.257,1,NO
RPAP3,0.035033406,0.715964642,0.957,0.743,1,NO
RSL1D1,0.027931717,0.715619274,0.929,0.8,1,NO
PPIAP29,0.001682907,0.715546611,0.457,0.157,1,NO
YES1,NA,0.714897171,0.471,0.4,NA,NO
APTX,0.002583404,0.714896009,0.8,0.529,1,NO
MVP,0.020668378,0.714830455,0.757,0.557,1,NO
NRL,0.097739143,0.71432779,0.286,0.2,1,NO
FKBP9,0.088256945,0.714245518,0.514,0.443,1,NO
SMAGP,0.075492777,0.714091128,0.429,0.257,1,NO
LY6K,NA,0.714091128,0.1,0.043,NA,NO
FAM174B,0.000754899,0.71397008,0.871,0.843,1,NO
UBE2A,0.060859122,0.713893168,0.843,0.729,1,NO
RPL7AP16,0.584839643,0.713695815,0.1,0.014,1,NO
CERS3,NA,0.713216991,0.243,0.171,NA,NO
C5orf28,0.228458976,0.713153079,0.657,0.514,1,NO
ZNF98,0.881406018,0.713118852,0.314,0.2,1,NO
SLC25A34,NA,0.712718048,0.314,0.214,NA,NO
LINC00526,NA,0.712560281,0.2,0.086,NA,NO
PYCR2,0.026446676,0.71251255,0.6,0.4,1,NO
SAR1A,0.014340912,0.712419915,0.943,0.871,1,NO
ADRM1,0.02769926,0.712351947,0.929,0.786,1,NO
AMT,NA,0.712154517,0.4,0.229,NA,NO
RNF185,0.002688474,0.712090926,0.7,0.543,1,NO
ITGB1P1,0.000671568,0.711494907,0.371,0.114,1,NO
MAD2L2,0.086997241,0.711461635,0.786,0.443,1,NO
LEMD2,0.025696474,0.71145103,0.786,0.571,1,NO
TRAM1,0.000281869,0.711449507,0.986,0.829,1,NO
MRPL34,0.082790338,0.710432011,0.771,0.586,1,NO
COX5B,NA,0.710343282,1,0.857,NA,NO
ARSD,NA,0.710157989,0.257,0.186,NA,NO
HTRA2,0.15788923,0.709962492,0.457,0.229,1,NO
NIT1,NA,0.709962492,0.371,0.229,NA,NO
PSMG2,0.023972236,0.709844251,0.9,0.743,1,NO
GYLTL1B,0.241775198,0.709409872,0.157,0.014,1,NO
SMIM1,NA,0.709409872,0.129,0.014,NA,NO
ANO7P1,0.086650406,0.709220604,0.214,0.143,1,NO
ECI1,0.016558815,0.709045509,0.729,0.371,1,NO
TADA2A,0.002176163,0.708951218,0.743,0.657,1,NO
S100A16,0.795646867,0.708856746,0.357,0.186,1,NO
FAM81B,0.189621437,0.708851958,0.5,0.314,1,NO
NPM1,0.007343126,0.708610964,1,0.9,1,NO
VPS72,0.106117685,0.708537186,0.629,0.329,1,NO
LINC01176,0.203302308,0.707986527,0.414,0.271,1,NO
R3HDML,NA,0.707819249,0.129,0.086,NA,NO
SNX22,0.070922553,0.707628049,0.7,0.343,1,NO
NDUFA12,0.015732048,0.707081948,0.871,0.614,1,NO
CACNA1H,0.092125886,0.707023279,0.314,0.286,1,NO
CUL4B,0.244024001,0.706840328,0.714,0.586,1,NO
USP6NL,0.026732933,0.706695041,0.9,0.6,1,NO
KAL1,NA,0.706671672,0.357,0.4,NA,NO
PPP1R14BP3,0.014850042,0.706524481,0.686,0.2,1,NO
ALPK3,0.026120916,0.706114942,0.629,0.286,1,NO
DAXX,0.750451226,0.705776531,0.514,0.3,1,NO
TLE2,NA,0.705601423,0.429,0.529,NA,NO
UBL4A,0.194500778,0.705388934,0.486,0.257,1,NO
LRRC74B,NA,0.704544116,0.214,0.043,NA,NO
OPALIN,NA,0.703867906,0.129,0.057,NA,NO
CCDC58,0.088273356,0.703828032,0.5,0.3,1,NO
SDAD1P2,0.292637661,0.703606997,0.114,0,1,NO
MLLT4-AS1,NA,0.703606997,0.143,0.129,NA,NO
EEF1B2P6,7.63E-05,0.703018262,0.5,0.186,1,NO
RPF1,0.176323599,0.703002893,0.729,0.443,1,NO
FOSL1,0.033636356,0.702822552,0.8,0.571,1,NO
HM13-AS1,0.43457168,0.70270277,0.3,0.243,1,NO
SUPT4H1,0.06817399,0.702614089,0.6,0.257,1,NO
SNX24,0.197688693,0.702477218,0.686,0.657,1,NO
RPS27AP11,0.000915925,0.701918647,0.414,0.071,1,NO
GIPC3,0.037759711,0.701776166,0.2,0.071,1,NO
ARMCX2,0.183876397,0.701560258,0.614,0.443,1,NO
KLB,0.064428035,0.701516758,0.486,0.329,1,NO
IZUMO1,0.172377942,0.70123789,0.271,0.2,1,NO
RPS3P4,0.007439405,0.700439718,0.343,0.029,1,NO
TRAPPC3,0.031163018,0.700439718,0.843,0.614,1,NO
RPS12P32,0.045945324,0.700439718,0.214,0.029,1,NO
PPP1R35,0.038402344,0.699986682,0.486,0.214,1,NO
ZSCAN16-AS1,0.014993507,0.699652436,0.814,0.329,1,NO
SFMBT2,0.018718053,0.69941864,0.9,0.729,1,NO
DNAJB12,0.001155225,0.699252738,0.886,0.557,1,NO
P2RX2,NA,0.699245928,0.129,0.043,NA,NO
DPM2,0.06350384,0.699215836,0.714,0.514,1,NO
ABHD12,2.53E-05,0.698849229,1,0.9,0.858283247,NO
DOLPP1,NA,0.698677109,0.286,0.229,NA,NO
NOL11,0.192178668,0.698457853,0.714,0.557,1,NO
TRDN,NA,0.698444749,0.314,0.286,NA,NO
CTU2,0.146902638,0.698152348,0.529,0.286,1,NO
LSM6,0.47658523,0.69783228,0.471,0.271,1,NO
COX6B1,0.004552554,0.697641321,0.986,0.771,1,NO
TCF19,NA,0.69743723,0.129,0.029,NA,NO
TCEB2,NA,0.695963505,0.986,0.871,NA,NO
COPRS,0.025194775,0.695956783,0.943,0.643,1,NO
MS4A8,NA,0.695790631,0.314,0.186,NA,NO
COX4I1,0.00053049,0.695763095,1,0.914,1,NO
MKNK1-AS1,0.176960585,0.695606564,0.114,0.071,1,NO
PML,0.069648214,0.695472286,0.557,0.357,1,NO
SELK,0.000794109,0.695084254,1,0.871,1,NO
LRP3,0.033153748,0.695081513,0.743,0.471,1,NO
LINC01314,NA,0.694935343,0.229,0.143,NA,NO
NIP7,0.272197875,0.694779262,0.586,0.429,1,NO
SSU72,4.73E-05,0.694615346,0.986,0.929,1,NO
MIR21,0.019081166,0.694586992,0.471,0.157,1,NO
SGTA,0.018532014,0.694481065,0.943,0.7,1,NO
PA2G4,0.045359452,0.694271344,0.957,0.743,1,NO
HNRNPUL2,NA,0.694234569,0.514,0.257,NA,NO
EMP1,0.387616498,0.693977087,0.3,0.114,1,NO
CYSTM1,0.083813388,0.693896872,0.871,0.643,1,NO
SEMA3E,NA,0.693896872,0.314,0.243,NA,NO
H6PD,0.08402959,0.69369814,0.429,0.314,1,NO
AQP9,0.079597853,0.693619564,0.371,0.314,1,NO
ST20,NA,0.693572999,0.257,0.057,NA,NO
CCBE1,0.333663365,0.693552775,0.8,0.8,1,NO
CNTLN,0.094835598,0.693409228,0.771,0.614,1,NO
EEF1A1P13,NA,0.693338662,0.529,0.057,NA,NO
HPS3,NA,0.693003491,0.529,0.2,NA,NO
SEMA3A,0.27560142,0.692866498,0.657,0.657,1,NO
CHN2,0.017325048,0.692755951,0.857,0.643,1,NO
PGAP2,0.119675004,0.692676318,0.586,0.4,1,NO
IL1R2,NA,0.692590182,0.357,0.114,NA,NO
METRN,NA,0.692509288,0.543,0.229,NA,NO
TMED5,0.00309121,0.692427198,0.971,0.857,1,NO
RQCD1,0.051098003,0.692220972,0.829,0.729,1,NO
MGC16275,0.210002178,0.691877705,0.214,0.114,1,NO
ZNF43,0.072922823,0.691743519,0.629,0.514,1,NO
SATL1,NA,0.691247294,0.114,0.043,NA,NO
CCT5,0.02475231,0.691018283,0.886,0.8,1,NO
APOBEC2,NA,0.690795413,0.157,0.071,NA,NO
PSPHP1,NA,0.690795413,0.186,0.214,NA,NO
ZNF500,0.151849121,0.690724563,0.514,0.3,1,NO
WDR93,NA,0.689831619,0.3,0.5,NA,NO
RNU5B-1,NA,0.689659879,0.2,0.086,NA,NO
LYPD6,NA,0.689659879,0.186,0.129,NA,NO
MANF,NA,0.689537092,0.629,0.343,NA,NO
DPP7,0.001277959,0.689044504,0.943,0.829,1,NO
BAIAP2L1,0.003950324,0.688641147,0.686,0.571,1,NO
XRCC5,0.000383998,0.688534426,1,0.871,1,NO
PYROXD1,NA,0.688385414,0.571,0.4,NA,NO
EDNRB,NA,0.688313733,0.329,0.214,NA,NO
IRAK4,0.252501407,0.688177622,0.314,0.243,1,NO
EMB,0.091538947,0.688109428,0.629,0.357,1,NO
RPS17P16,0.003760816,0.68740977,0.386,0.086,1,NO
DRG1,0.003285952,0.687368272,0.914,0.757,1,NO
NARFL,0.156433245,0.68714866,0.686,0.486,1,NO
DLGAP1-AS1,0.673168106,0.687060688,0.643,0.371,1,NO
CLPP,NA,0.6868055,0.671,0.529,NA,NO
THAP5,0.11724471,0.686676924,0.371,0.229,1,NO
SHC1,0.128808958,0.686592072,0.614,0.386,1,NO
ZDHHC19,0.078270417,0.68589141,0.471,0.286,1,NO
RPL13AP7,0.001009652,0.685364398,0.429,0.057,1,NO
PART1,0.014622065,0.685013515,0.671,0.371,1,NO
MLPH,NA,0.684903939,0.1,0.071,NA,NO
UBAC2-AS1,NA,0.684735635,0.114,0.043,NA,NO
MTND5P16,NA,0.684498174,0.143,0.1,NA,NO
IMP4,0.058407063,0.684137906,0.714,0.457,1,NO
CRISPLD1,0.483404236,0.684061589,0.343,0.186,1,NO
PRPF40B,0.017863573,0.683990437,0.814,0.614,1,NO
HNRNPH2,0.004474959,0.683877527,0.629,0.314,1,NO
RBMX2P3,NA,0.683815888,0.129,0.071,NA,NO
NDUFB7,NA,0.68380557,0.971,0.643,NA,NO
TRNM,NA,0.683667368,0.914,0.529,NA,NO
DISC1,0.114776584,0.683142895,0.157,0.014,1,NO
MGST2,0.059196123,0.683059415,0.714,0.457,1,NO
ANKRD40,0.122087537,0.683043047,0.643,0.371,1,NO
GLI4,NA,0.682809824,0.471,0.271,NA,NO
TULP1,0.252048455,0.68251781,0.1,0.057,1,NO
HIF1AN,0.06099084,0.682275973,0.671,0.471,1,NO
RPA2,0.029349442,0.682273253,0.786,0.429,1,NO
RPL7AP66,0.000374707,0.682259702,0.471,0.186,1,NO
WDR77,0.122801153,0.682199791,0.514,0.314,1,NO
RALY,0.000526066,0.681833824,0.971,0.929,1,NO
LAMTOR5-AS1,NA,0.68163852,0.129,0.057,NA,NO
APH1B,0.073296777,0.681366985,0.7,0.457,1,NO
SSNA1,0.124708215,0.680601999,0.814,0.543,1,NO
CCDC42B,0.285086377,0.680540161,0.171,0.129,1,NO
MIIP,NA,0.680458498,0.543,0.4,NA,NO
SNX17,0.029811175,0.680449757,0.886,0.5,1,NO
LINC00950,NA,0.680382066,0.286,0.157,NA,NO
SEC11A,0.011850277,0.680376598,0.914,0.714,1,NO
RNU6-8,NA,0.680119734,0.171,0.057,NA,NO
HDDC2,0.217811636,0.68009881,0.686,0.4,1,NO
SPG21,0.034574522,0.67992894,0.9,0.671,1,NO
BMPR1B-AS1,0.409939927,0.679821687,0.1,0.057,1,NO
H2AFY,0.075470021,0.679678023,0.914,0.829,1,NO
SYCP3,0.050598647,0.679599375,0.329,0.171,1,NO
ADCY7,0.030969547,0.679537314,0.686,0.471,1,NO
SPTLC2,0.025745176,0.67914494,0.914,0.857,1,NO
SEC22B,0.054588305,0.678808789,0.686,0.457,1,NO
METTL8,0.267013895,0.678714674,0.743,0.629,1,NO
ST8SIA4,0.104689042,0.67844992,0.757,0.571,1,NO
GPX1P2,0.004565752,0.678071905,0.386,0,1,NO
RPL7P18,0.198258732,0.678071905,0.143,0.114,1,NO
RPSAP21,0.215468699,0.678071905,0.157,0.014,1,NO
NCR1,0.376680394,0.678071905,0.129,0.129,1,NO
PTPN7,NA,0.678071905,0.171,0.014,NA,NO
TPRXL,NA,0.677221009,0.286,0.257,NA,NO
TCEAL8,0.021315741,0.676385528,0.7,0.5,1,NO
ARL5B,0.141711087,0.675928023,0.843,0.629,1,NO
CDK16,0.023003486,0.675858719,0.714,0.5,1,NO
CYP2A7,0.04598147,0.675727965,0.329,0.171,1,NO
EPHX1,0.093923892,0.675676064,0.629,0.429,1,NO
YRDC,0.233228619,0.675649243,0.714,0.457,1,NO
LINC00893,0.248429613,0.675649243,0.471,0.371,1,NO
NRK,NA,0.67556505,0.1,0.029,NA,NO
ZNF584,0.42596421,0.675474794,0.343,0.257,1,NO
TNFAIP6,0.290315028,0.675417452,0.229,0.157,1,NO
UBE2D1,0.348221138,0.675256279,0.8,0.614,1,NO
STAT6,0.097975003,0.675146418,0.714,0.486,1,NO
DOCK4,1.08E-05,0.675125591,1,1,0.366636078,NO
THEGL,0.080028836,0.674864387,0.571,0.471,1,NO
ZNF300P1,NA,0.674809118,0.143,0.1,NA,NO
UCK1,0.019505779,0.67469532,0.629,0.429,1,NO
STK11IP,0.008458114,0.674454615,0.7,0.443,1,NO
MEX3A,NA,0.674424128,0.086,0.129,NA,NO
SNHG8,0.00552933,0.674267537,1,0.714,1,NO
HCAR3,0.145233376,0.674229839,0.157,0.071,1,NO
TDRD1,0.043674351,0.674013689,0.2,0.129,1,NO
EEF1DP1,0.000247822,0.673771768,0.486,0.171,1,NO
PNPO,0.142937168,0.673387826,0.6,0.286,1,NO
ERI1,0.210320591,0.673266215,0.571,0.357,1,NO
NAPRT,NA,0.673133982,0.457,0.229,NA,NO
APBA3,0.010002971,0.672229337,0.6,0.343,1,NO
LINC00565,NA,0.671812915,0.243,0.157,NA,NO
CBLC,NA,0.671767328,0.157,0.171,NA,NO
ANP32B,0.117619495,0.671746267,0.857,0.557,1,NO
ZMAT5,NA,0.671730378,0.657,0.429,NA,NO
ANAPC15,0.083474658,0.670652426,0.629,0.343,1,NO
NCK1-AS1,0.109699546,0.670498685,0.357,0.286,1,NO
SMIM2,NA,0.670431843,0.171,0.143,NA,NO
CREB3L4,0.221111138,0.670294555,0.129,0.043,1,NO
GPATCH3,0.515214867,0.670193431,0.414,0.329,1,NO
MYBPC3,NA,0.670152242,0.243,0.157,NA,NO
C22orf34,0.093582093,0.670034586,0.429,0.429,1,NO
KEAP1,0.184903378,0.669886598,0.729,0.514,1,NO
TARS,0.141091889,0.669851398,0.8,0.586,1,NO
SMIM11,0.095385157,0.669851398,0.5,0.257,1,NO
NODAL,0.055399101,0.669354688,0.171,0.057,1,NO
ZNF322,0.532343309,0.66930654,0.371,0.214,1,NO
IGFBP7,0.909982919,0.669199038,0.471,0.314,1,NO
CERK,0.003857384,0.66909528,0.857,0.671,1,NO
HNRNPC,6.90E-06,0.66901507,0.986,0.971,0.233741572,NO
VIT,0.440108495,0.66862043,0.386,0.257,1,NO
NR1H3,0.31238486,0.668302403,0.5,0.229,1,NO
PGS1,NA,0.667647653,0.771,0.557,NA,NO
PAIP2B,NA,0.666412314,0.314,0.171,NA,NO
MTCO2P2,0.012616863,0.665999073,0.343,0.071,1,NO
SCARA3,NA,0.665830346,0.386,0.4,NA,NO
WDR31,NA,0.665315898,0.414,0.257,NA,NO
ITFG2,0.041979599,0.665209754,0.614,0.486,1,NO
RNF126P1,NA,0.665132849,0.1,0,NA,NO
MMRN2,0.421625714,0.664495956,0.371,0.2,1,NO
UBE2D3,4.84E-06,0.664471975,1,0.971,0.163844644,NO
PIH1D1,0.000557541,0.664305932,0.957,0.8,1,NO
ARMCX6,0.163851448,0.664296526,0.371,0.129,1,NO
ZFP69B,0.070029681,0.66421671,0.729,0.514,1,NO
RDH10,NA,0.663902132,0.229,0.171,NA,NO
SLC25A20,NA,0.663858046,0.386,0.329,NA,NO
UPK3A,NA,0.663817921,0.129,0.086,NA,NO
RPS6P10,NA,0.663636815,0.386,0.071,NA,NO
METTL4,0.345888291,0.663503432,0.471,0.343,1,NO
PPRC1,0.174563136,0.663187668,0.743,0.614,1,NO
HSD17B3,NA,0.662965013,0.214,0.129,NA,NO
SYTL1,0.412973621,0.662130361,0.314,0.129,1,NO
RPL35P1,0.000580475,0.662003536,0.443,0.129,1,NO
OVOL1,NA,0.6617197,0.157,0.043,NA,NO
RPL41P3,0.000396273,0.661414561,0.886,0.429,1,NO
MBD3,0.002509743,0.66133219,0.871,0.686,1,NO
LINC01258,0.026562223,0.661016741,0.257,0.171,1,NO
EEF1A1P12,0.003560514,0.660911354,0.414,0.057,1,NO
UBE2L3,1.13E-05,0.660274959,0.971,0.9,0.381297426,NO
TADA3,0.017537211,0.660208395,0.686,0.5,1,NO
IL21R,NA,0.660208395,0.286,0.157,NA,NO
CENPA,0.17222503,0.659924558,0.157,0.071,1,NO
ARRDC4,0.612321811,0.659816495,0.443,0.214,1,NO
TRIM65,0.201130627,0.659509454,0.3,0.143,1,NO
NANS,0.05321024,0.65916703,0.929,0.643,1,NO
DCK,0.041267209,0.659113004,0.757,0.514,1,NO
RPA1,0.176016123,0.659095373,0.571,0.414,1,NO
SLC25A45,0.178060822,0.658963082,0.371,0.171,1,NO
LARGE-AS1,0.05090594,0.658660599,0.429,0.3,1,NO
FCHSD1,0.12768385,0.658660599,0.357,0.314,1,NO
HIGD1AP1,0.055331963,0.658619542,0.671,0.314,1,NO
HMGN1P38,0.010548116,0.658565591,0.514,0.314,1,NO
SCNN1G,0.051672222,0.65838357,0.157,0.143,1,NO
SIM2,0.218805712,0.658141802,0.386,0.257,1,NO
MTA2,NA,0.657964332,0.314,0.171,NA,NO
UMAD1,0.144578781,0.657688463,0.843,0.686,1,NO
CAPN9,NA,0.657475001,0.114,0.057,NA,NO
FCGR2C,NA,0.657398337,0.271,0.014,NA,NO
NDUFB4,0.033606185,0.657363605,1,0.757,1,NO
FAM107A,0.00269069,0.657060104,0.943,0.814,1,NO
LSM5,0.023745067,0.657017438,0.786,0.457,1,NO
PSMC3IP,NA,0.656413024,0.2,0.114,NA,NO
DHRS1,0.092307605,0.656370435,0.529,0.257,1,NO
DGCR6L,0.109215345,0.655918443,0.729,0.529,1,NO
MRPS28,0.078144361,0.655887052,0.843,0.657,1,NO
SRGAP2B,0.008398285,0.655715274,0.957,0.9,1,NO
CXCR2,0.128419387,0.655665492,0.1,0.043,1,NO
CIRBP,0.003221349,0.65561357,1,0.9,1,NO
PSMC2,0.048110106,0.655558777,0.929,0.686,1,NO
ACTBP8,0.000739213,0.655351829,0.457,0.1,1,NO
RAB25,0.095191105,0.655351829,0.171,0.1,1,NO
RALY-AS1,0.255437144,0.655351829,0.1,0.014,1,NO
SMAD3,0.010139353,0.655106531,0.986,0.829,1,NO
TMEM184A,NA,0.655088587,0.114,0.043,NA,NO
PIH1D2,NA,0.654671473,0.286,0.143,NA,NO
RHOXF1,NA,0.654671473,0.186,0.157,NA,NO
ANXA4,0.013775821,0.654666039,0.9,0.771,1,NO
ISYNA1,0.321225231,0.653824359,0.371,0.229,1,NO
PACS2,0.000475952,0.653804217,0.971,0.886,1,NO
GNG12-AS1,NA,0.653268514,0.3,0.357,NA,NO
DYRK2,0.217766071,0.653186178,0.457,0.271,1,NO
FAM65A,0.002397089,0.653129759,0.914,0.829,1,NO
MAP7D3,NA,0.653051491,0.414,0.157,NA,NO
FLYWCH2,0.061105385,0.65275259,0.671,0.329,1,NO
ANTXR2,0.16691852,0.652676819,0.429,0.343,1,NO
SLFN11,0.147931275,0.652560579,0.386,0.114,1,NO
GADD45GIP1,0.018594387,0.652159337,0.914,0.529,1,NO
NR2E1,NA,0.652076697,0.2,0.071,NA,NO
PRDM7,NA,0.652076697,0.157,0.114,NA,NO
ILK,0.141225875,0.651991832,0.914,0.686,1,NO
MRPL9,0.03890365,0.651815062,0.8,0.614,1,NO
XBP1,0.009585936,0.651332942,0.943,0.857,1,NO
RFESD,NA,0.65115278,0.114,0.071,NA,NO
NUDT19,0.045734911,0.650850436,0.586,0.443,1,NO
HBQ1,NA,0.650764559,0.171,0.057,NA,NO
PARD6G,0.19588891,0.650665748,0.314,0.214,1,NO
RAB6C-AS1,NA,0.650665748,0.157,0.129,NA,NO
DPP9,0.005481503,0.650478536,0.871,0.471,1,NO
SNHG5,0.015187374,0.650451582,0.986,0.7,1,NO
NOXO1,0.152380404,0.650415562,0.129,0.043,1,NO
CASC20,0.179220306,0.650415562,0.1,0.086,1,NO
JUND,0.00527106,0.650333518,1,0.957,1,NO
THBD,NA,0.650253961,0.2,0.114,NA,NO
COPS6,0.035948383,0.650134025,0.914,0.7,1,NO
ZNF775,NA,0.649942532,0.257,0.071,NA,NO
GBAS,0.018422244,0.649772189,0.871,0.743,1,NO
NCAPH,NA,0.649588218,0.271,0.129,NA,NO
CLDND1,0.108979099,0.649528682,0.9,0.671,1,NO
MPHOSPH6,0.097265955,0.649442438,0.914,0.643,1,NO
KIRREL,NA,0.649271533,0.2,0.229,NA,NO
LINC01547,0.61071901,0.648834684,0.186,0.057,1,NO
