"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"106","Car11",0,-6.01833583794908,0.051,0.936,0
"107","Card6",0,4.09607167243599,0.382,0.693,0
"108","Cbx5",0,-3.91099631555105,0.258,0.996,0
"109","Ccdc136",0,-7.29915107055044,0.225,0.971,0
"110","Ccdc184",0,-6.6297818857662,0.017,0.81,0
"111","Ccdc92",0,-6.85349428583249,0.034,0.948,0
"112","Ccl27a",0,-5.03438336246757,0.107,0.994,0
"113","Ccser1",0,-7.7354864662328,0.444,0.989,0
"114","Cd200",0,-9.21709830325195,0.084,0.985,0
"115","Cdh10",0,-7.49371817799225,0.09,0.846,0
"116","Cdk6",0,5.4849293643287,0.91,0.796,0
"117","Cdkl5",0,-7.50980253426942,0.073,0.837,0
"118","Cdr1",0,-6.86713938584097,0.051,0.915,0
"119","Celf4",0,-6.12840740149009,0.331,1,0
"120","Celf6",0,-6.73771945498854,0.096,0.83,0
"121","Cend1",0,-9.64823499019085,0.051,0.996,0
"122","Cep170b",0,-6.43450338459241,0.022,0.901,0
"123","Cep19",0,-5.2678109112329,0.225,0.948,0
"124","Cfap36",0,-3.33019403987455,0.197,0.997,0
"125","Chchd10",0,-6.50986669397152,0.253,0.999,0
"126","Chchd2",0,-1.78649938348199,0.809,1,0
"127","Chchd6",0,-4.21151709611731,0.612,0.996,0
"128","Chd3os",0,-5.80240489544374,0.169,0.998,0
"129","Chd5",0,-5.63623222375314,0.118,0.972,0
"130","Chga",0,-8.46186213051811,0.067,0.98,0
"131","Chgb",0,-9.26222594845263,0.124,0.994,0
"132","Chl1",0,-7.4564422557064,0.618,0.987,0
"133","Chn1",0,-6.84437767346909,0.388,0.993,0
"134","Chpf",0,-7.07441010799968,0.022,0.868,0
"135","Chrm3",0,-6.63876390568179,0.213,0.913,0
"136","Cit",0,-5.26920719123874,0.242,0.986,0
"137","Ckmt1",0,-8.22824954941158,0.09,0.989,0
"138","Clec2l",0,-6.07625053352539,0.062,0.897,0
"139","Clip3",0,-7.51446886250706,0.084,0.994,0
"140","Clip4",0,-6.74859633224602,0.056,0.85,0
"141","Clstn3",0,-8.8682586473704,0.067,0.99,0
"142","Cltb",0,-2.83141162862066,0.376,0.998,0
"143","Clu",0,-6.37517444948021,0.393,0.995,0
"144","Clvs1",0,-6.97631501495436,0.073,0.871,0
"145","Clvs2",0,-6.63595742410032,0.079,0.826,0
"146","Cnr1",0,-9.74518356716657,0.079,0.892,0
"147","Cntn1",0,-7.60755590976744,0.213,0.996,0
"148","Cntn4",0,-8.2676444916,0.472,0.901,0
"149","Cntnap2",0,-8.00806475887141,0.584,1,0
"150","Cox5a",0,-2.62683240043416,0.753,1,0
"151","Cox5b",0,-2.5432919804841,0.826,1,0
"152","Cox6c",0,-2.30521885410825,0.876,1,0
"153","Cox7b",0,-2.44404991125704,0.775,1,0
"154","Cpe",0,-5.69312757342137,0.551,1,0
"155","Cplx1",0,-7.94290076385879,0.096,0.991,0
"156","Cpne6",0,-8.26248350957727,0.062,0.89,0
"157","Crmp1",0,-7.44573702882601,0.084,0.91,0
"158","Csdc2",0,-7.13422231291635,0.067,0.964,0
"159","Csmd1",0,-8.33346065254144,0.68,0.991,0
"160","Cspg5",0,-6.71121853428972,0.157,0.973,0
"161","Csrnp3",0,-7.96038464509014,0.056,0.958,0
"162","Cst3",0,6.03058271992288,1,0.999,0
"163","Ctnna2",0,-7.91783323543295,0.309,0.991,0
"164","Ctnnd2",0,-3.37240334566533,0.461,0.997,0
"165","Ctsd",0,4.01015646362088,0.994,0.982,0
"166","Cttn",0,-7.3395299759704,0.022,0.897,0
"167","Cttnbp2",0,-7.38765618458306,0.433,0.978,0
"168","Cx3cl1",0,-8.6376357392029,0.107,0.998,0
"169","Cxx1a",0,-3.55483135145598,0.208,0.998,0
"170","Cxx1b",0,-3.91907993311322,0.152,0.998,0
"171","Cxx1c",0,-3.8253583357288,0.242,1,0
"172","Cycs",0,-2.85421387472784,0.596,1,0
"173","Cyfip2",0,-5.92533375674387,0.169,0.95,0
"174","Cygb",0,-6.72778653367687,0.017,0.887,0
"175","Cyp46a1",0,-6.20591275538477,0.112,0.952,0
"176","Cystm1",0,-5.45075666326866,0.079,0.989,0
"177","D10Bwg1379e",0,-7.35230268550134,0.185,0.966,0
"178","Dab1",0,-7.54837275379713,0.438,0.942,0
"179","Dcaf12l1",0,-6.95812166236315,0.006,0.785,0
"180","Dclk1",0,-6.60294482383838,0.309,0.999,0
"181","Dctn3",0,-2.34019428411211,0.5,0.999,0
"182","Ddx25",0,-7.89485011929886,0.056,0.939,0
"183","Dennd5b",0,-6.90297950926187,0.258,0.978,0
