"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"84","Sparc",4.53572053156676e-246,6.63545020338404,0.998,0.167,1.82394929735894e-241
"85","Tbxas1",1.17690625023229e-241,5.64210640782476,0.68,0.038,4.73269310405911e-237
"86","Gmfg",1.07123568985067e-239,4.61719900565337,0.782,0.041,4.30776007959652e-235
"87","Fyb",3.98563917197953e-237,5.74032635135988,0.845,0.054,1.60274508022813e-232
"88","Syngr2",4.18821722793143e-231,5.62243720613982,0.752,0.014,1.68420779386806e-226
"89","Ucp2",6.64389670565376e-227,5.99736820068162,0.977,0.056,2.67171018224454e-222
"90","Anxa3",1.52072114349521e-226,6.05700834102343,0.874,0.038,6.11527593433729e-222
"91","Irf5",1.64081325343867e-222,5.84656638086787,0.894,0.11,6.59820233605294e-218
"92","Cd300a",3.60932225851372e-220,5.59958081414468,0.673,0.007,1.45141675981612e-215
"93","Itgb2",2.98935201196728e-217,5.8985216208518,0.718,0.02,1.2021081245724e-212
"94","Arhgdib",2.91184404715157e-215,5.85415873389216,0.964,0.043,1.17093984668106e-210
"95","Cd84",2.6930014386961e-214,5.81365708307976,0.635,0.045,1.08293666854286e-209
"96","Ccrl2",1.81560751930853e-213,6.41340081177303,0.653,0.005,7.30110251739538e-209
"97","Lst1",2.7415219576457e-210,4.82175327872894,0.782,0.029,1.10244822482807e-205
"98","Cd68",3.7027297639549e-207,5.97387469888535,0.964,0.099,1.48897871997918e-202
"99","C3ar1",7.40392231180855e-206,6.64369706022247,0.77,0.052,2.97733927924757e-201
"100","Pik3ap1",1.28150394897065e-205,6.47512160099926,0.761,0.07,5.15331182999566e-201
"101","Icam1",2.0522018428236e-203,6.09386658146625,0.644,0.045,8.25251927054654e-199
"102","Cd52",5.96258170631454e-200,4.83355190599162,0.716,0.005,2.39773298156027e-195
"103","P2ry6",1.64161137617669e-199,4.91201108027712,0.673,0.014,6.60141182701931e-195
"104","Ccl2",5.39949499143695e-198,6.88045437056417,0.595,0.005,2.17129892090654e-193
"105","Vamp8",2.32479838367251e-195,4.31483202814919,0.926,0.074,9.34871174026225e-191
"106","Parvg",2.06550074487341e-194,5.55184322613929,0.642,0.011,8.30599814535946e-190
"107","Gm9843",3.37464868381646e-194,2.29534749578405,1,0.734,1.35704747522311e-189
"108","Ptpn18",5.68774264994337e-191,4.65314049320437,0.919,0.052,2.28721195182173e-186
"109","Adap2",1.85656269415056e-188,4.89437949839417,0.691,0.009,7.46579556198765e-184
"110","Tlr2",4.8003118230038e-184,6.34828952995634,0.574,0,1.93034939338452e-179
"111","Trf",1.16613735011077e-183,5.70582993477478,0.982,0.146,4.68938812600043e-179
"112","Sepp1",6.49219356762046e-182,5.72037125306617,0.993,0.122,2.61070579934722e-177
"113","Rcsd1",1.47123362486495e-181,5.2822234249335,0.626,0.011,5.91627177566941e-177
"114","Tlr7",6.18419564239409e-181,5.48336493787806,0.608,0.007,2.48685059367594e-176
"115","Fth1",4.63618287183482e-179,2.36840485973351,1,0.998,1.86434821825094e-174
"116","Rasgrp3",2.33249183441582e-177,5.33476505310895,0.714,0.056,9.37964941373633e-173
"117","Gpr183",1.71823711872952e-176,5.77148218170813,0.592,0.007,6.90954692554702e-172
"118","Prkcd",2.65850261877668e-176,5.37442466573049,0.736,0.029,1.06906365808866e-171
"119","Gm15427",5.93263202621635e-175,2.39485417553972,0.993,0.734,2.38568931670238e-170
"120","Arpc1b",6.86623968340697e-174,4.89600960240055,0.932,0.117,2.76112096388844e-169
"121","Tmem173",3.32782870344801e-172,5.48160940632053,0.586,0.005,1.33821975651755e-167
"122","Rab20",2.46919895862698e-170,5.5224488727414,0.583,0.014,9.92938977232667e-166
"123","Plek",4.20039240591173e-170,6.17282087621031,0.939,0.149,1.68910379818928e-165
"124","Susd3",3.28267959549264e-169,4.7802542223219,0.615,0.016,1.32006394573545e-164
"125","Fcgr1",7.24820039048426e-168,5.17807684377734,0.597,0.016,2.91471882302544e-163
"126","Itgb5",2.47601287005305e-166,5.13737688013867,0.98,0.277,9.95679055434434e-162
"127","Clic1",2.83177388611943e-166,5.00486270393802,0.905,0.207,1.1387412328252e-161
"128","Entpd1",2.55058577286055e-165,5.31510637949694,0.867,0.142,1.02566705684041e-160
"129","Rpl18a",2.75763949506622e-164,2.35065623701148,1,0.944,1.10892957015098e-159
"130","Slc15a3",4.16649594379982e-163,5.65776133280148,0.7,0.007,1.67547301388022e-158
"131","C5ar1",3.23945668478328e-162,5.32480094739809,0.777,0.284,1.3026827166519e-157
"132","Dock2",4.13723876064006e-161,5.44783575109936,0.707,0.065,1.66370782281619e-156
"133","Slc11a1",4.46446636614482e-161,5.4130512927922,0.59,0.016,1.79529585981781e-156
"134","Mfng",2.15756098063346e-160,4.78986874952283,0.608,0.074,8.67619997142132e-156
"135","Gm14303",4.74449271237856e-159,2.15226778384867,0.995,0.77,1.90790285442879e-154
"136","Pik3r5",8.33394412685855e-159,5.41077798912563,0.57,0.061,3.35132895173363e-154
"137","Gpr84",1.06484959322314e-154,6.1635718184283,0.653,0.036,4.28207966922823e-150
"138","Rps29",3.29797022354176e-151,2.1864626010662,1,0.977,1.32621276599285e-146
"139","Nlrp3",5.99239361919239e-149,5.20474213032832,0.651,0.054,2.40972124608584e-144
"140","Ptprc",6.66880441163087e-147,5.50261564083221,0.7,0.106,2.68172631804912e-142
"141","Fcgr2b",5.35073477471804e-143,4.98679864405102,0.563,0.005,2.15169097495737e-138
"142","Gm10116",1.37935415464678e-142,2.15804882142123,0.923,0.309,5.54679686208108e-138
"143","Clec5a",8.39166935836972e-139,5.33043914237386,0.55,0.005,3.37454199908121e-134
"144","Agmo",5.1053579671627e-136,4.81795288662059,0.689,0.214,2.05301759933514e-131
"145","Arhgap25",3.2611266784922e-135,4.93065346725848,0.588,0.099,1.31139687122207e-130
"146","Syk",4.90455620675226e-135,4.80236896303362,0.615,0.063,1.97226918742129e-130
"147","Runx1",2.31031105035264e-133,5.35547323834426,0.583,0.05,9.29045382678308e-129
"148","Havcr2",1.06619463287037e-131,5.15914309697304,0.541,0.023,4.28748847716163e-127
"149","Dock8",7.39665862125697e-131,4.70393716237732,0.628,0.097,2.97441833136607e-126
"150","Casp4",2.45681137642864e-130,5.42294269736419,0.509,0.018,9.87957558803248e-126
"151","Plaur",4.85683441500586e-129,5.55768850010611,0.559,0.086,1.95307882330631e-124
"152","Lair1",1.87540170079904e-127,4.9073762697558,0.831,0.126,7.54155285942318e-123
"153","Ecscr",1.4424455872451e-125,4.67543621012391,0.741,0.027,5.80050643998871e-121
"154","Tnfrsf1a",2.33759514122892e-125,4.77017074089719,0.606,0.02,9.40017134142387e-121
"155","Trim47",4.36545221051173e-125,5.11889905145966,0.55,0.005,1.75547929741308e-120
"156","Casp8",7.13762455434568e-125,4.70702786338488,0.545,0.09,2.87025296203903e-120
"157","Cd83",3.6465389066109e-124,6.5632958742147,0.858,0.068,1.46638269051544e-119
"158","Zfhx3",4.72490447518488e-124,3.41383153495142,0.941,0.815,1.9000258366061e-119
"159","Cd9",1.42432902115449e-123,5.32429758335577,0.91,0.061,5.72765429276857e-119
"160","Clec4a3",2.17867851646244e-123,4.90484962838105,0.525,0.007,8.76111991825041e-119
"161","Rbm47",2.48074933407487e-123,4.9869269457747,0.541,0.169,9.97583729711526e-119
"162","Gm10790",1.94346162493887e-122,4.99395903906682,0.667,0.007,7.8152422323667e-118
"163","Rhog",8.00565249610087e-122,4.66896191864456,0.905,0.113,3.21931303825704e-117
"164","Capn3",1.75621540190239e-120,4.79116890822443,0.572,0.036,7.06226899567007e-116
"165","Actb",2.64251297264293e-120,2.1257855487067,1,0.98,1.0626337416889e-115
"166","Ctsc",3.34676312877927e-120,5.45285191153962,0.759,0.092,1.34583385697601e-115
"167","Ang",1.51010048806603e-119,4.59237596011097,0.543,0.005,6.07256709265991e-115
"168","Cd82",1.40096277324437e-118,4.60801308472349,0.577,0.018,5.63369160004758e-114
"169","Tnfaip8l2",7.91464975092005e-118,4.57171938367297,0.529,0.014,3.18271810433748e-113
"170","Tuba1c",1.07611037783682e-117,4.3789272877944,0.651,0.081,4.32736266239522e-113
"171","Clec4a2",8.2706465908235e-116,4.49822230524788,0.529,0.007,3.32587511356785e-111
"172","Cxcl16",7.30126539665399e-115,5.52288973656474,0.608,0.038,2.93605785395647e-110
"173","Gm36365",1.09956098855714e-114,4.75782665122771,0.597,0.007,4.42166460328482e-110
"174","Xlr",6.17312304252899e-114,4.04882520710399,0.554,0.009,2.48239796909218e-109
"175","Neurl3",3.01828775202674e-112,4.94433303334374,0.52,0.059,1.21374405372251e-107
"176","Tcn2",7.13110215694539e-112,5.04522622627282,0.809,0.032,2.86763011037245e-107
"177","Plekho2",1.22637356067991e-110,4.87684806483718,0.745,0.097,4.93161599956212e-106
"178","Igh",1.60331706435903e-110,3.01909025142666,0.975,0.793,6.44741891090697e-106
"179","Skap2",3.60103469198622e-109,4.15530871682505,0.764,0.347,1.44808408068842e-104
"180","Litaf",3.18870844721471e-108,4.55844905948868,0.89,0.169,1.28227532787845e-103
"181","Lpcat2",4.70210495007968e-108,4.4613182346259,0.946,0.245,1.89085746357554e-103
"182","Il10rb",3.41563225986046e-106,4.86473210655086,0.653,0.023,1.37352820065769e-101
"183","B2m",4.01700564606102e-106,4.05434887919528,1,0.419,1.61535848045052e-101
"184","Cebpa",3.06249663451514e-105,3.0929543913782,0.669,0.014,1.23152177163757e-100
"185","Birc3",8.19156524644567e-103,4.68045088095783,0.568,0.054,3.2940741325532e-98
"186","Lyz2",1.04913551756911e-102,5.42796141284373,0.579,0.016,4.21888865680067e-98
"187","Gsdmd",1.15294814601105e-101,4.75536344279983,0.475,0.009,4.63635037955424e-97
"188","Fli1",6.69950964365881e-99,5.07225865443243,0.637,0.05,2.69407381300452e-94
"189","Rab3il1",2.6199996854352e-98,4.63863413497983,0.748,0.119,1.05358047350406e-93
"190","Slc2a5",1.41063672400948e-97,4.58041273227399,0.764,0.119,5.67259345825933e-93
"191","Ccr5",1.63813747195792e-96,4.91799440554651,0.466,0.002,6.58744221598439e-92
"192","Rgs1",2.8686995737075e-96,5.27251420251399,0.441,0,1.153590159575e-91
"193","Evi2a",5.72441080412177e-94,4.56133711340385,0.827,0.09,2.30195731666149e-89
"194","Ncf4",1.94979900267336e-93,4.40158633971102,0.502,0.007,7.84072672945037e-89
"195","Phyhd1",2.01605835990341e-93,3.69579687159831,0.935,0.477,8.10717548267959e-89
"196","Rplp1",2.52712480859007e-93,2.05779218278331,1,0.914,1.01623269927833e-88
"197","Rhoh",2.83096662549461e-93,4.61862232022383,0.475,0.025,1.13841660911015e-88
"198","Gm12164",3.25787234524164e-93,1.67747463951069,0.827,0.266,1.31008820619202e-88
"199","Ikzf1",5.21661416754961e-93,4.04131472642648,0.502,0.034,2.09775705519672e-88
"200","Ftl2",2.5144472227418e-92,2.12751766320672,0.984,0.669,1.01113466168116e-87
"201","Pmp22",4.85235061566679e-92,4.54273979536745,0.694,0.032,1.95127575307808e-87
"202","Txnip",7.76181948417092e-92,5.55239463826473,0.559,0.009,3.12126046916965e-87
"203","Cd74",1.00101644390916e-91,4.93796111486299,0.48,0.005,4.02538742589192e-87
"204","Tgfbr1",1.2089369272425e-91,4.54428686696747,0.937,0.189,4.86149806552027e-87
"205","Pycard",1.65540500854096e-91,4.08372833855144,0.842,0.144,6.65688016084574e-87
"206","Tgif1",3.47694967174559e-90,4.39530811784101,0.691,0.185,1.39818577149905e-85
"207","Slfn2",4.33879035697866e-89,5.14939214748077,0.419,0.011,1.74475776625183e-84
"208","8030442B05Rik",6.7872206316302e-89,4.03727437284306,0.491,0.137,2.72934503259745e-84
"209","Gm6977",1.72714609369614e-87,1.68757292150901,0.944,0.518,6.9453725865803e-83
"210","Cmtm7",2.04541358867157e-87,3.95349980488209,0.7,0.07,8.22522166412499e-83
"211","Rps27",2.21661979889642e-86,1.9518194397329,0.998,0.941,8.91369319730216e-82
"212","Osm",5.52400952599914e-86,4.7642440006764,0.432,0,2.22136995069003e-81
"213","Cd180",1.63312049620271e-85,4.64374811868281,0.505,0.009,6.56726745137994e-81
"214","Hk2",2.34851036420304e-84,3.64077382558021,0.583,0.038,9.44406472756969e-80
"215","Vis1",2.74886333799234e-84,4.67318026925467,0.45,0.025,1.10540041410686e-79
"216","Klhl6",7.08995472036963e-84,4.60543034952388,0.423,0.016,2.85108349170224e-79
"217","Sash3",1.56530990270012e-83,4.872971314541,0.414,0.011,6.29458071172797e-79
"218","Rps14",3.48601225548738e-83,1.95423968210185,1,0.912,1.40183010829914e-78
"219","Arhgap30",8.42967292621854e-83,4.50833809639833,0.579,0.043,3.38982437382026e-78
"220","Zc3h12a",1.59463291590558e-82,3.51332028951968,0.529,0.025,6.41249734473111e-78
"221","Eef1a1",1.62169742123748e-82,2.0122218479258,1,0.948,6.52133184002229e-78
"222","Tlr13",3.19490948620985e-82,4.84935440398325,0.448,0.014,1.28476895168957e-77
"223","Nfam1",4.22826941926085e-82,4.38805768395737,0.437,0.09,1.70031398156736e-77
"224","Rps23",1.21611942792396e-81,2.11326792012524,1,0.842,4.89038105551061e-77
"225","Hvcn1",1.52495432957707e-81,3.70412573892828,0.664,0.18,6.13229884552828e-77
"226","Fermt3",7.50197542195411e-81,2.16757223754867,0.998,0.968,3.01676937643041e-76
"227","Pik3cg",9.71724305353736e-81,4.75228119470013,0.444,0.023,3.90759494911898e-76
"228","Ctsz",9.90763771262577e-81,3.95487701301224,0.984,0.333,3.9841583533782e-76
"229","Abca9",4.10419440672392e-80,4.62057214124752,0.633,0.077,1.65041969677589e-75
"230","Batf",5.25224966612381e-80,3.10629979166365,0.604,0.297,2.11208715823837e-75
"231","Lcp1",1.00437118238952e-79,4.58413054461662,0.854,0.086,4.03887783574296e-75
"232","Ncf2",1.50159563674166e-79,3.87019579562784,0.838,0.207,6.03836653402925e-75
"233","Rpl13a",4.95895153806346e-79,1.71241444391704,1,0.953,1.99414318200146e-74
"234","Fau",5.16057360848191e-78,1.9287716519972,0.998,0.887,2.07522146517883e-73
"235","Bank1",8.77849676022359e-78,4.32105742796843,0.523,0.135,3.53009690218871e-73
"236","Rasal3",1.82658026001884e-77,4.58627072871238,0.554,0.02,7.34522719961375e-73
"237","Samsn1",3.08909949316529e-77,4.11453273618104,0.601,0.061,1.24221957918656e-72
"238","Psmb9",3.28614096364857e-77,3.84332546683105,0.462,0.007,1.321455865712e-72
"239","Limd2",4.75225616747181e-77,3.75831616608463,0.955,0.203,1.91102477262544e-72
"240","Bcl2a1d",1.08637271077693e-76,3.68561375166763,0.502,0.014,4.36863058184727e-72
"241","Pros1",1.23306437641889e-76,4.51374881720526,0.68,0.101,4.95852177689329e-72
"242","1700112E06Rik",1.34838210500557e-76,3.61860313286361,0.773,0.597,5.42224895885891e-72
"243","Gm2629",2.37263164707843e-76,4.75163452436838,0.401,0,9.54106364239648e-72
"244","Cdk6",3.10587913008748e-76,3.07662220395698,0.917,0.8,1.24896717458208e-71
"245","Nfe2l2",1.33205672816883e-75,4.28116833455903,0.768,0.133,5.35659972098533e-71
"246","Sla",1.37110692398052e-75,4.928948001829,0.552,0.018,5.51363227340286e-71
"247","Tpt1-ps3",8.30002295397276e-75,1.54821076953005,0.973,0.689,3.33768823048106e-70
"248","Rps9",4.1756899571642e-74,2.09465354479411,1,0.829,1.67917020247444e-69
"249","Stab1",5.05165522990094e-74,4.26184065885724,0.637,0.104,2.03142211760007e-69
"250","Rps12",3.07555110845449e-73,2.33350105755028,0.998,0.755,1.23677136724281e-68
"251","Gng10",1.33058035565072e-72,3.26453513154193,0.98,0.383,5.35066278417826e-68
"252","Rpl37a",1.92193360722957e-72,1.77596320599508,1,0.932,7.72867161475228e-68
"253","Gm10076",3.65108348806347e-72,1.62129127379619,0.975,0.689,1.46821020305496e-67
"254","Rpl31-ps8",9.26266692445503e-72,1.43197159823999,0.928,0.527,3.7247962503311e-67
"255","Ccl7",1.20858726145695e-71,6.18408895376597,0.363,0.005,4.86009195449685e-67
"256","Hcls1",1.38160746717303e-71,3.23598536596043,0.658,0.115,5.5558581077429e-67
"257","Sqrdl",4.09337229777928e-71,4.30032163869799,0.523,0.02,1.64606780210598e-66
"258","Zfp36",5.40267319178606e-71,4.57589271996384,0.892,0.167,2.17257697061293e-66
"259","Ms4a6d",8.3038341208316e-71,4.32610842446583,0.403,0.009,3.33922081501001e-66
"260","Gm8730",8.34504326576296e-71,1.77620894060841,0.901,0.405,3.35579224846126e-66
"261","Gcnt1",1.25117859995476e-70,4.16470900711645,0.441,0.025,5.03136450399808e-66
"262","Gimap6",1.58090662236095e-70,4.66650310544207,0.41,0.007,6.35729980050008e-66
"263","Bcl2a1a",1.37189602267369e-69,4.11690846261757,0.43,0.005,5.51680547597771e-65
"264","Nrros",1.66170949733284e-69,4.03036202635684,0.631,0.266,6.68223240162456e-65
"265","Kcnk6",1.70699371368199e-69,4.00163190558065,0.421,0.047,6.86433382082941e-65
"266","Sp110",1.95288491364277e-69,3.58390982278982,0.444,0.023,7.85313610323168e-65
"267","Bst2",2.02557312298301e-69,3.64142945238018,0.459,0.002,8.14543719945156e-65
"268","Rps25",3.11576003574945e-68,1.77854524054284,1,0.932,1.25294058317593e-63
"269","Zfp36l1",5.07584025092143e-68,3.42664625521315,0.818,0.072,2.04114764010304e-63
"270","Mertk",6.03303934331314e-68,4.14939696182091,0.849,0.223,2.42606611112651e-63
"271","Cxcl10",9.60168111414407e-68,5.31222383156551,0.322,0.002,3.86112402643075e-63
"272","Hfe",1.06643427130092e-67,4.45051951620976,0.507,0.009,4.28845213518238e-63
"273","Prkch",2.11330022898086e-67,3.79460984215422,0.586,0.216,8.49821421080074e-63
"274","Cmtm6",3.32586304118352e-67,4.08717444643861,0.95,0.252,1.33742930475113e-62
"275","Klk8",5.59965438016643e-67,3.90979590881311,0.426,0.009,2.25178901589633e-62
"276","Apobec3",9.29884464437209e-67,3.65214616211843,0.405,0.061,3.73934439684135e-62
"277","Cflar",9.43605115306168e-67,4.09403812287809,0.759,0.122,3.79451925018069e-62
"278","Rps19",2.56255031803396e-66,1.84592931898742,0.998,0.89,1.030478359391e-61
"279","Lgmn",3.78619558181119e-66,2.40809460608999,0.998,0.833,1.52254282931373e-61
"280","Nfkbia",3.81055946949731e-66,3.91118821518164,0.939,0.32,1.53234027946895e-61
"281","Rpl32",2.0695376329499e-65,2.06606176990746,0.995,0.833,8.32223168338145e-61
"282","Rps20",2.10715719808102e-65,2.1683242722158,0.991,0.755,8.47351124064322e-61
"283","Glul",2.41405642363505e-65,2.24576225507157,1,0.811,9.70764509636364e-61
"284","Renbp",5.29997432414146e-65,4.28712553885141,0.698,0.088,2.13127867496701e-60
"285","Upk1b",1.9371897955378e-64,4.43534600011298,0.374,0.011,7.79002132479617e-60
"286","Gm4149",3.21256162814292e-63,1.64435444398133,0.946,0.505,1.29186740752511e-58
