"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","GABAergic","Astro","Endo","Glutamatergic","Microglia","Oligo","Peri","SMC","VLMC","QC_pass"
"81","20200408_sample_23","GABAergic","Sst_on",155.566395961978,0.724778252011776,NA,0.378032307329685,-Inf,-0.010313061562762,NA,0.209068046357633,0.103343636892844,0.0249209741868299,NA,NA,0.00792593817992289,TRUE
"82","20200408_sample_24","GABAergic","Sst_on",203.315328443928,0.947238813662602,NA,0.506424711586733,-Inf,0.0721895353237625,NA,0.193616777432554,0.0447908146853638,-0.0194235206742603,NA,NA,0.0206038118743349,TRUE
"83","20200408_sample_25","GABAergic","Pvalb_on",179.122696521515,0.834526210353487,NA,0.486975507537038,-Inf,0.0809888652488215,NA,0.139994701935466,0.085433664197452,0.0181995697078851,NA,NA,0.0299501441594432,TRUE
"84","20200408_sample_26","GABAergic","Sst_on",183.325477034617,0.854106813831757,NA,0.397435027690476,-Inf,-0.000510294174927813,NA,0.00161089869311297,0.0790686310963068,-0.00779013798090646,NA,NA,-0.0279893213643242,TRUE
"85","20200408_sample_27","GABAergic","Sst_on",196.898041953965,0.917340906366533,NA,0.451700511634955,-Inf,0.0699036009134252,NA,0.147413071343594,0.0543633123207709,0.023898148641855,NA,NA,-0.00234667127158111,TRUE
"86","20200408_sample_28","GABAergic","Sst_on",191.832094931872,0.893738841121325,NA,0.441230542617587,-Inf,0.0608075969594944,NA,0.146506572133807,0.11091858217841,-0.0198161032056294,NA,NA,-0.0243292981096845,TRUE
"94","20200409_sample_1","GABAergic","Sst_on",193.684203440615,0.902367748149748,NA,0.425289494111457,-Inf,0.0312040149539922,NA,0.111502495009514,0.0726727703741365,-0.00152151073875847,NA,NA,-0.00600244542299787,TRUE
"104","20200409_sample_2","GABAergic","Sst_on",175.36137350579,0.817002341501661,NA,0.430123240523868,-Inf,0.1276225430663,NA,0.0745763108238176,0.0171960776181417,0.0652924046285505,NA,NA,0.00374686501981709,TRUE
"106","20200409_sample_3","GABAergic","Sst_on",204.280281999049,0.951734497622032,NA,0.475301402918328,-Inf,0.220355038169104,NA,0.247006773118058,0.0690199458465582,0.0168336367274652,NA,NA,0.0219995506696192,TRUE
"107","20200409_sample_4","GABAergic","Sst_on",193.069845708071,0.899505477536937,NA,0.464175851071961,-Inf,0.0871719486370469,NA,0.170601336316645,0.0369319824804975,0.00736923717202804,NA,NA,0.000974233912851675,TRUE
"108","20200409_sample_5","GABAergic","Sst_on",151.767469663642,0.707079190816695,NA,0.318186026399793,-Inf,0.124009125666009,NA,-0.0539365096356279,0.124842466676713,-0.0253757846732369,NA,NA,-0.0218433180174475,TRUE
"109","20200409_sample_6","GABAergic","Sst_on",205.815597544949,0.958887477613394,NA,0.485449201923526,-Inf,0.182145982543769,NA,0.162625002161048,0.0261745445063572,0.060788999576639,NA,NA,0.0203189141488343,TRUE
"110","20200409_sample_7","GABAergic","Sst_on",224.508540491194,1.04597722749001,NA,0.516064149085396,Inf,0.137211158452199,NA,0.16498718348171,0.0254212212627613,0.00815549378227599,NA,NA,-0.023886885440918,TRUE
"111","20200409_sample_8","GABAergic","Sst_on",210.898079024156,0.982566576300504,NA,0.499445144511907,-Inf,0.0726198017698708,NA,0.259125485645585,0.0136164855285955,0.0316111839647569,NA,NA,-0.0044012287796855,TRUE
"112","20200409_sample_9","GABAergic","Sst_on",204.066344829306,0.950737772031213,NA,0.447395135407797,-Inf,0.00748957127821388,NA,0.168235533417972,0.0929493816051867,-0.00962265736461662,NA,NA,-0.0181568209169053,TRUE
"95","20200409_sample_10","GABAergic","Sst_on",192.553894134906,0.897101677686661,NA,0.427429407769139,-Inf,0.0612527370095134,NA,0.0907069549024189,0.0957713001658677,0.185421192195172,NA,NA,0.00707602725234498,TRUE
"96","20200409_sample_11","GABAergic","Sst_on",172.783352489349,0.804991434169192,NA,0.441022342552722,-Inf,0.0472894578245736,NA,0.088201374661894,0.0582935667395716,0.0418771810967479,NA,NA,-0.0209268882896637,TRUE
"97","20200409_sample_12","GABAergic","Sst_on",167.159039560844,0.778787962218314,NA,0.381369849814109,-Inf,-0.0163567198557209,NA,-0.00836172663988169,0.063370172580422,-0.0162823367137681,NA,NA,-0.0247889402068729,TRUE
"98","20200409_sample_13","GABAergic","Sst_on",211.060426250809,0.983322946199188,NA,0.535311358376204,-Inf,-0.016071332535609,NA,0.116716645663405,0.018537267808323,-0.0157067519171787,NA,NA,-0.0279893213643242,TRUE
"99","20200409_sample_14","GABAergic","Sst_on",196.061337028669,0.913442728167731,NA,0.442418590997471,-Inf,0.0125428823204863,NA,-0.0219094168287537,0.0506925233725046,-0.00912139801765978,NA,NA,-0.0077667597965028,TRUE
"100","20200409_sample_15","GABAergic","Sst_on",170.903872251983,0.796235003240101,NA,0.455268010139466,-Inf,0.0210425315486162,NA,0.201539814299308,0.0633359543461553,0.0481531782159366,NA,NA,0.0521052591273114,TRUE
"101","20200409_sample_17","GABAergic","Sst_on",182.118474855835,0.848483434027256,NA,0.468029561113805,-Inf,0.0214146356988366,NA,0.0544683737729816,0.0676864281185488,0.0152041781990187,NA,NA,0.0173317590108686,TRUE
"102","20200409_sample_18","GABAergic","Sst_on",172.423282330495,0.803313880230103,NA,0.403507830860086,-Inf,0.046918959982961,NA,0.159418993025834,0.11619824157381,0.0341094379538333,NA,NA,-0.0248025478339502,TRUE
"103","20200409_sample_19","GABAergic","Sst_on",187.598774750076,0.874015954423365,NA,0.463186439067838,-Inf,0.0482077985508442,NA,0.14498999519875,0.00536034215403437,-0.0253757846732369,NA,NA,0.0141888362904321,TRUE
"105","20200409_sample_20","GABAergic","Sst_on",204.944225088493,0.954827784631911,NA,0.515829814101306,-Inf,-0.0143261424708218,NA,0.191296715243728,0.0157875501978451,0.0239773890341536,NA,NA,0.00471052656080419,TRUE
"113","20200410_sample_1","Glutamatergic","L5.IT_on",197.420251179041,0.910677194097747,NA,0.471453047871801,0.0732300155015269,0.163576010239666,NA,-Inf,0.176769709128606,0.0774747973442567,NA,NA,0.0619442446173115,TRUE
"121","20200410_sample_2","GABAergic","Sst_on",226.576512080616,1.05561183285914,NA,0.366920250391925,Inf,0.0713154622693065,NA,0.146447164110007,0.324604187322219,0.0266340389450634,NA,NA,0.00514290601434131,TRUE
"132","20200410_sample_4","Glutamatergic","L5.IT_on",110.295979069106,0.508782823135122,NA,0.206044317258563,0.0819030158389388,0.132495720832446,NA,-Inf,0.0358068595301994,0.743986308691511,NA,NA,-0.0266960806259774,TRUE
"133","20200410_sample_5","Glutamatergic","L5.IT_on",258.076642716507,1.19047823841583,NA,0.601533811325572,0.114391581353699,0.221477506372338,NA,Inf,0.0434617472327406,0.0476998664348219,NA,NA,0.0709900082687339,TRUE
"134","20200410_sample_6","Glutamatergic","L5.PT_on",169.503005646733,0.781898111524079,NA,0.458303293627488,0.142003478449362,0.194717846499416,NA,-Inf,0.126467205911305,0.1329675251217,NA,NA,0.0885676613311129,TRUE
"135","20200410_sample_7","GABAergic","Sst_on",223.086749453797,1.03935315410682,NA,0.510886635283524,Inf,0.141199074024213,NA,0.142349347422347,0.0530169520000779,0.0349165062102353,NA,NA,-0.0138925329260474,TRUE
"136","20200410_sample_8","Glutamatergic","L5.IT_on",177.678653800712,0.819611447802046,NA,0.366384364688746,0.0638146732990497,0.367695384221795,NA,-Inf,0.203613755050495,0.0979087568233033,NA,NA,0.00294416211019867,TRUE
"114","20200410_sample_10","Glutamatergic","L5.IT_on",242.068610745544,1.11663500525571,NA,0.520109843698869,0.0871366377345997,0.184416541202976,NA,Inf,0.163202951030182,0.0305646190628775,NA,NA,0.0764860999144868,TRUE
"115","20200410_sample_11","Glutamatergic","L5.IT_on",204.511400310182,0.943387859569545,NA,0.445912591369373,0.176556678088904,0.203053481476419,NA,-Inf,0.202670352808272,0.177918440366,NA,NA,-0.0138908557551082,TRUE
"116","20200410_sample_13","Glutamatergic","L5.PT_on",166.845712445916,0.769640319825595,NA,0.427160429703191,0.236386826292212,0.224711578452725,NA,-Inf,0.127296401401793,0.245021985813617,NA,NA,0.0788742793741455,TRUE
"117","20200410_sample_14","Glutamatergic","L5.IT_on",249.654546414664,1.15162806482534,NA,0.442412968434433,0.0833927810229328,0.20689407666354,NA,Inf,0.657609843582842,0.0749479217969255,NA,NA,0.0288935492516661,TRUE
"118","20200410_sample_15","Glutamatergic","L5.IT_on",228.793823242624,1.05539991836262,NA,0.420630274723662,0.105259349505733,0.166512907928958,NA,Inf,0.250120161480612,0.0507609801682189,NA,NA,0.035225891279497,TRUE
"119","20200410_sample_17","Glutamatergic","L2.3.IT_on",0,0,NA,NA,-0.129733777808224,-0.0473722942658569,NA,-Inf,0,-0.0294989281373957,NA,NA,-0.0266960806259774,FALSE
"120","20200410_sample_18","Glutamatergic","L5.IT_on",236.050706163534,1.08887509498124,NA,0.384045296896025,0.0487241308963148,0.218703766975815,NA,Inf,0.65454277973677,0.059690731279959,NA,NA,0.0795766512033837,TRUE
"122","20200410_sample_20","Glutamatergic","L5.IT_on",219.404335411575,1.01208727753208,NA,0.546038069865666,0.131242339460984,0.156198902847639,NA,Inf,0.0289612900521799,0.0645548400716362,NA,NA,0.008276455805357,TRUE
