gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color
AK157302,0.000986258,-0.108858228,0.331,0.336,1,NO
Mettl5,0.009439732,-0.108931059,0.664,0.502,1,NO
Gm31914,0.126079094,-0.108939101,0.45,0.378,1,NO
Ing3,0.07458511,-0.109126727,0.509,0.412,1,NO
Pgs1,0.011402781,-0.109131154,0.804,0.624,1,NO
Rfc1,0.005242013,-0.109267029,0.8,0.714,1,NO
Hdac8,2.56E-05,-0.109454788,0.973,0.937,1,NO
Nol6,0.026032713,-0.10953128,0.514,0.41,1,NO
Fxr1,5.85E-06,-0.109638161,0.948,0.849,0.235147669,NO
Cib2,0.108795398,-0.109847181,0.601,0.426,1,NO
Actr1b,1.23E-06,-0.109957219,0.962,0.887,0.049633381,NO
Ccdc77,0.083267771,-0.109997103,0.41,0.349,1,NO
Lyrm4,0.000450931,-0.110113429,0.833,0.676,1,NO
Setd1b,0.000201586,-0.110227771,0.635,0.608,1,NO
Immt,2.54E-05,-0.110257219,0.932,0.82,1,NO
Decr2,0.013930841,-0.110297471,0.673,0.502,1,NO
Lima1,0.054021177,-0.110312595,0.703,0.628,1,NO
Def8,0.009270899,-0.110341623,0.561,0.387,1,NO
Mrps23,0.03077018,-0.110385474,0.709,0.514,1,NO
Ppp5c,0.000150842,-0.110401246,0.896,0.721,1,NO
Tmem50b,1.14E-05,-0.110403328,0.878,0.802,0.458610886,NO
Arpp21,0.08208246,-0.110473594,0.788,0.651,1,NO
Fam219a,1.44E-05,-0.1104794,0.957,0.899,0.578208929,NO
Grhl2,0.03418509,-0.110534745,0.59,0.565,1,NO
Smc1a,0.000135176,-0.110614977,0.854,0.75,1,NO
Gna11,0.000186187,-0.110649424,0.831,0.694,1,NO
Atp5f1,1.35E-09,-0.110803098,0.993,0.941,5.42E-05,NO
Gm9923,0.046479082,-0.11092715,0.11,0.146,1,NO
Ide,1.57E-05,-0.110938463,0.901,0.802,0.6295848,NO
Pigh,0.43213185,-0.110960507,0.261,0.167,1,NO
Hlf,0.001378775,-0.111010351,0.804,0.597,1,NO
Grhpr,0.045495683,-0.111073933,0.464,0.331,1,NO
Kansl2-ps,0.00426342,-0.111118619,0.245,0.245,1,NO
Vps53,1.21E-05,-0.111263142,0.962,0.905,0.48502164,NO
Ccdc91,0.020711459,-0.111444906,0.617,0.502,1,NO
