gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color
Ccl9,4.16E-277,7.301192311,0.691,0.009,1.67E-272,UP
Ccl2,5.40E-198,6.880454371,0.595,0.005,2.17E-193,UP
C3ar1,7.40E-206,6.64369706,0.77,0.052,2.98E-201,UP
Sparc,4.54E-246,6.635450203,0.998,0.167,1.82E-241,UP
Cd83,3.65E-124,6.563295874,0.858,0.068,1.47E-119,UP
Pik3ap1,1.28E-205,6.475121601,0.761,0.07,5.15E-201,UP
Ccrl2,1.82E-213,6.413400812,0.653,0.005,7.30E-209,DIFF
Msn,6.93E-287,6.377384784,0.896,0.059,2.79E-282,UP
Tlr2,4.80E-184,6.34828953,0.574,0,1.93E-179,UP
Cd33,1.33E-286,6.279195815,0.703,0.002,5.36E-282,UP
Il10ra,3.45E-269,6.211603335,0.707,0,1.39E-264,UP
Ccl7,1.21E-71,6.184088954,0.363,0.005,4.86E-67,UP
Plek,4.20E-170,6.172820876,0.939,0.149,1.69E-165,UP
Gpr84,1.06E-154,6.163571818,0.653,0.036,4.28E-150,UP
Csf3r,1.88E-288,6.145259176,0.714,0.032,7.55E-284,UP
Ccl12,1.63E-252,6.135646028,0.685,0.002,6.57E-248,UP
Icam1,2.05E-203,6.093866581,0.644,0.045,8.25E-199,UP
Anxa3,1.52E-226,6.057008341,0.874,0.038,6.12E-222,UP
Lcp2,4.22E-247,6.051177715,0.689,0.009,1.70E-242,UP
Ucp2,6.64E-227,5.997368201,0.977,0.056,2.67E-222,UP
Cd68,3.70E-207,5.973874699,0.964,0.099,1.49E-202,UP
Ctsh,6.65E-269,5.966330152,0.896,0.081,2.68E-264,UP
Il1b,3.85E-57,5.917248682,0.306,0.011,1.55E-52,DIFF
Hmha1,6.40E-286,5.909388677,0.721,0.018,2.57E-281,UP
Itgb2,2.99E-217,5.898521621,0.718,0.02,1.20E-212,UP
Lgals9,2.78E-293,5.867553316,0.847,0.072,1.12E-288,UP
Arhgdib,2.91E-215,5.854158734,0.964,0.043,1.17E-210,UP
Irf5,1.64E-222,5.846566381,0.894,0.11,6.60E-218,UP
Cd84,2.69E-214,5.813657083,0.635,0.045,1.08E-209,UP
Ccl6,9.33E-250,5.783044244,0.723,0.005,3.75E-245,UP
Gpr183,1.72E-176,5.771482182,0.592,0.007,6.91E-172,UP
Fyb,3.99E-237,5.740326351,0.845,0.054,1.60E-232,UP
Sepp1,6.49E-182,5.720371253,0.993,0.122,2.61E-177,UP
Trf,1.17E-183,5.705829935,0.982,0.146,4.69E-179,UP
Lyn,7.85E-299,5.70195277,0.93,0.261,3.16E-294,UP
Slc15a3,4.17E-163,5.657761333,0.7,0.007,1.68E-158,UP
Tbxas1,1.18E-241,5.642106408,0.68,0.038,4.73E-237,UP
Syngr2,4.19E-231,5.622437206,0.752,0.014,1.68E-226,UP
Srgn,7.71E-255,5.620559101,0.831,0.3,3.10E-250,UP
Cd300a,3.61E-220,5.599580814,0.673,0.007,1.45E-215,UP
Plaur,4.86E-129,5.5576885,0.559,0.086,1.95E-124,DIFF
Rac2,5.60E-252,5.55760835,0.775,0.007,2.25E-247,UP
Fgd2,4.12E-298,5.556509583,0.757,0.2,1.66E-293,UP
Txnip,7.76E-92,5.552394638,0.559,0.009,3.12E-87,UP
Parvg,2.07E-194,5.551843226,0.642,0.011,8.31E-190,UP
Psmb8,1.70E-259,5.537708027,0.788,0.007,6.84E-255,UP
Cxcl16,7.30E-115,5.522889737,0.608,0.038,2.94E-110,UP
Rab20,2.47E-170,5.522448873,0.583,0.014,9.93E-166,UP
Ptprc,6.67E-147,5.502615641,0.7,0.106,2.68E-142,UP
Abi3,1.92E-283,5.49439736,0.779,0.036,7.71E-279,UP
Tlr7,6.18E-181,5.483364938,0.608,0.007,2.49E-176,UP
Tmem173,3.33E-172,5.481609406,0.586,0.005,1.34E-167,UP
Ctsc,3.35E-120,5.452851912,0.759,0.092,1.35E-115,UP
Dock2,4.14E-161,5.447835751,0.707,0.065,1.66E-156,UP
Lyz2,1.05E-102,5.427961413,0.579,0.016,4.22E-98,UP
Casp4,2.46E-130,5.422942697,0.509,0.018,9.88E-126,UP
Slc11a1,4.46E-161,5.413051293,0.59,0.016,1.80E-156,UP
Pik3r5,8.33E-159,5.410777989,0.57,0.061,3.35E-154,UP
Prkcd,2.66E-176,5.374424666,0.736,0.029,1.07E-171,UP
Runx1,2.31E-133,5.355473238,0.583,0.05,9.29E-129,UP
Rasgrp3,2.33E-177,5.334765053,0.714,0.056,9.38E-173,UP
Clec5a,8.39E-139,5.330439142,0.55,0.005,3.37E-134,UP
C5ar1,3.24E-162,5.324800947,0.777,0.284,1.30E-157,UP
Cd9,1.42E-123,5.324297583,0.91,0.061,5.73E-119,UP
Entpd1,2.55E-165,5.315106379,0.867,0.142,1.03E-160,UP
Cxcl10,9.60E-68,5.312223832,0.322,0.002,3.86E-63,DIFF
Rcsd1,1.47E-181,5.282223425,0.626,0.011,5.92E-177,UP
Rgs1,2.87E-96,5.272514203,0.441,0,1.15E-91,UP
Nlrp3,5.99E-149,5.20474213,0.651,0.054,2.41E-144,UP
Fcgr1,7.25E-168,5.178076844,0.597,0.016,2.91E-163,UP
Havcr2,1.07E-131,5.159143097,0.541,0.023,4.29E-127,UP
Slfn2,4.34E-89,5.149392147,0.419,0.011,1.74E-84,UP
Itgb5,2.48E-166,5.13737688,0.98,0.277,9.96E-162,UP
Tnfaip3,1.27E-57,5.134990616,0.624,0.041,5.11E-53,UP
Trim47,4.37E-125,5.118899051,0.55,0.005,1.76E-120,UP
Fli1,6.70E-99,5.072258654,0.637,0.05,2.69E-94,UP
Tcn2,7.13E-112,5.045226226,0.809,0.032,2.87E-107,UP
Clic1,2.83E-166,5.004862704,0.905,0.207,1.14E-161,UP
Gm10790,1.94E-122,4.993959039,0.667,0.007,7.82E-118,UP
Rbm47,2.48E-123,4.986926946,0.541,0.169,9.98E-119,UP
Fcgr2b,5.35E-143,4.986798644,0.563,0.005,2.15E-138,UP
Neurl3,3.02E-112,4.944333033,0.52,0.059,1.21E-107,UP
Cd74,1.00E-91,4.937961115,0.48,0.005,4.03E-87,DIFF
Arhgap25,3.26E-135,4.930653467,0.588,0.099,1.31E-130,UP
Sla,1.37E-75,4.928948002,0.552,0.018,5.51E-71,UP
Ccr5,1.64E-96,4.917994406,0.466,0.002,6.59E-92,UP
P2ry6,1.64E-199,4.91201108,0.673,0.014,6.60E-195,UP
Lair1,1.88E-127,4.90737627,0.831,0.126,7.54E-123,UP
Clec4a3,2.18E-123,4.904849628,0.525,0.007,8.76E-119,UP
Arpc1b,6.87E-174,4.896009602,0.932,0.117,2.76E-169,UP
Adap2,1.86E-188,4.894379498,0.691,0.009,7.47E-184,UP
Plekho2,1.23E-110,4.876848065,0.745,0.097,4.93E-106,UP
Sash3,1.57E-83,4.872971315,0.414,0.011,6.29E-79,UP
Il10rb,3.42E-106,4.864732107,0.653,0.023,1.37E-101,UP
Tlr13,3.19E-82,4.849354404,0.448,0.014,1.28E-77,UP
Cd52,5.96E-200,4.833551906,0.716,0.005,2.40E-195,UP
Lst1,2.74E-210,4.821753279,0.782,0.029,1.10E-205,UP
Agmo,5.11E-136,4.817952887,0.689,0.214,2.05E-131,UP
Syk,4.90E-135,4.802368963,0.615,0.063,1.97E-130,UP
Capn3,1.76E-120,4.791168908,0.572,0.036,7.06E-116,UP
Mfng,2.16E-160,4.78986875,0.608,0.074,8.68E-156,UP
Susd3,3.28E-169,4.780254222,0.615,0.016,1.32E-164,UP
Tnfrsf1a,2.34E-125,4.770170741,0.606,0.02,9.40E-121,UP
Osm,5.52E-86,4.764244001,0.432,0,2.22E-81,DIFF
Ppp1r18,5.77E-282,4.763566295,0.968,0.464,2.32E-277,UP
Gm36365,1.10E-114,4.757826651,0.597,0.007,4.42E-110,UP
Gsdmd,1.15E-101,4.755363443,0.475,0.009,4.64E-97,UP
Pik3cg,9.72E-81,4.752281195,0.444,0.023,3.91E-76,UP
Gm2629,2.37E-76,4.751634524,0.401,0,9.54E-72,UP
Casp8,7.14E-125,4.707027863,0.545,0.09,2.87E-120,UP
Dock8,7.40E-131,4.703937162,0.628,0.097,2.97E-126,UP
Gpsm3,1.12E-285,4.685973444,0.82,0.02,4.51E-281,UP
Birc3,8.19E-103,4.680450881,0.568,0.054,3.29E-98,UP
Ecscr,1.44E-125,4.67543621,0.741,0.027,5.80E-121,UP
Vis1,2.75E-84,4.673180269,0.45,0.025,1.11E-79,UP
Rhog,8.01E-122,4.668961919,0.905,0.113,3.22E-117,UP
Gimap6,1.58E-70,4.666503105,0.41,0.007,6.36E-66,UP
Ptpn18,5.69E-191,4.653140493,0.919,0.052,2.29E-186,UP
Cd180,1.63E-85,4.643748119,0.505,0.009,6.57E-81,UP
Rab3il1,2.62E-98,4.638634135,0.748,0.119,1.05E-93,UP
Gm14023,3.71E-47,4.628235209,0.532,0.027,1.49E-42,UP
Abca9,4.10E-80,4.620572141,0.633,0.077,1.65E-75,UP
Rhoh,2.83E-93,4.61862232,0.475,0.025,1.14E-88,UP
Gmfg,1.07E-239,4.617199006,0.782,0.041,4.31E-235,UP
Atf3,1.34E-62,4.610174837,0.885,0.16,5.39E-58,UP
Cd82,1.40E-118,4.608013085,0.577,0.018,5.63E-114,UP
Klhl6,7.09E-84,4.60543035,0.423,0.016,2.85E-79,UP
Ang,1.51E-119,4.59237596,0.543,0.005,6.07E-115,UP
Rasal3,1.83E-77,4.586270729,0.554,0.02,7.35E-73,UP
Lcp1,1.00E-79,4.584130545,0.854,0.086,4.04E-75,UP
Slc2a5,1.41E-97,4.580412732,0.764,0.119,5.67E-93,UP
Zfp36,5.40E-71,4.57589272,0.892,0.167,2.17E-66,UP
Tnfaip8l2,7.91E-118,4.571719384,0.529,0.014,3.18E-113,UP
Evi2a,5.72E-94,4.561337113,0.827,0.09,2.30E-89,UP
Litaf,3.19E-108,4.558449059,0.89,0.169,1.28E-103,UP
Tgfbr1,1.21E-91,4.544286867,0.937,0.189,4.86E-87,UP
Pmp22,4.85E-92,4.542739795,0.694,0.032,1.95E-87,UP
Pros1,1.23E-76,4.513748817,0.68,0.101,4.96E-72,UP
Arhgap30,8.43E-83,4.508338096,0.579,0.043,3.39E-78,UP
Clec4a2,8.27E-116,4.498222305,0.529,0.007,3.33E-111,UP
Lpcat2,4.70E-108,4.461318235,0.946,0.245,1.89E-103,UP
Tgfb1,8.72E-295,4.460682547,0.881,0.034,3.51E-290,UP
Hfe,1.07E-67,4.450519516,0.507,0.009,4.29E-63,UP
Upk1b,1.94E-64,4.435346,0.374,0.011,7.79E-60,UP
Ncf4,1.95E-93,4.40158634,0.502,0.007,7.84E-89,UP
Tgif1,3.48E-90,4.395308118,0.691,0.185,1.40E-85,UP
Fam46c,2.03E-60,4.393133658,0.453,0.014,8.16E-56,UP
Nfam1,4.23E-82,4.388057684,0.437,0.09,1.70E-77,UP
Tnfrsf1b,1.39E-48,4.385770787,0.635,0.047,5.58E-44,UP
Tuba1c,1.08E-117,4.378927288,0.651,0.081,4.33E-113,UP
Igsf6,1.62E-40,4.364812528,0.403,0.068,6.53E-36,UP
Hck,1.49E-60,4.36440736,0.703,0.065,5.98E-56,UP
Ms4a6b,7.17E-60,4.352494811,0.372,0.005,2.88E-55,UP
Myo1f,2.86E-58,4.331379243,0.606,0.137,1.15E-53,UP
Ms4a6d,8.30E-71,4.326108424,0.403,0.009,3.34E-66,UP
Bank1,8.78E-78,4.321057428,0.523,0.135,3.53E-73,UP
Vamp8,2.32E-195,4.314832028,0.926,0.074,9.35E-191,UP
Il17ra,4.24E-48,4.309415069,0.57,0.036,1.71E-43,UP
Sqrdl,4.09E-71,4.300321639,0.523,0.02,1.65E-66,UP
Renbp,5.30E-65,4.287125539,0.698,0.088,2.13E-60,UP
Nfe2l2,1.33E-75,4.281168335,0.768,0.133,5.36E-71,UP
Stab1,5.05E-74,4.261840659,0.637,0.104,2.03E-69,UP
Plau,2.20E-52,4.235763837,0.376,0.072,8.85E-48,UP
Bco2,2.14E-60,4.220565854,0.486,0.027,8.61E-56,UP
Sft2d2,1.33E-56,4.21806102,0.658,0.061,5.34E-52,UP
Slamf8,2.40E-39,4.213992342,0.275,0.005,9.67E-35,DIFF
Gcnt1,1.25E-70,4.164709007,0.441,0.025,5.03E-66,UP
Hhex,5.96E-59,4.156083076,0.369,0.009,2.39E-54,UP
Skap2,3.60E-109,4.155308717,0.764,0.347,1.45E-104,UP
Mertk,6.03E-68,4.149396962,0.849,0.223,2.43E-63,UP
Slc37a2,2.28E-31,4.136662547,0.511,0.038,9.16E-27,UP
Bcl2a1a,1.37E-69,4.116908463,0.43,0.005,5.52E-65,UP
Samsn1,3.09E-77,4.114532736,0.601,0.061,1.24E-72,UP
Cflar,9.44E-67,4.094038123,0.759,0.122,3.79E-62,UP
Cmtm6,3.33E-67,4.087174446,0.95,0.252,1.34E-62,UP
H2-Q6,6.70E-52,4.08574159,0.342,0,2.69E-47,DIFF
Pycard,1.66E-91,4.083728339,0.842,0.144,6.66E-87,UP
B2m,4.02E-106,4.054348879,1,0.419,1.62E-101,UP
Nfkb2,1.42E-53,4.051997016,0.477,0.036,5.70E-49,DIFF
Xlr,6.17E-114,4.048825207,0.554,0.009,2.48E-109,UP
Ikzf1,5.22E-93,4.041314726,0.502,0.034,2.10E-88,UP
8030442B05Rik,6.79E-89,4.037274373,0.491,0.137,2.73E-84,UP
Nrros,1.66E-69,4.030362026,0.631,0.266,6.68E-65,UP
Cyp4v3,2.84E-41,4.018741431,0.309,0.002,1.14E-36,UP
Tmem63a,2.23E-55,4.006376869,0.489,0.036,8.98E-51,UP
Kcnk6,1.71E-69,4.001631906,0.421,0.047,6.86E-65,UP
Abcc3,1.92E-53,4,0.412,0.034,7.74E-49,UP
Tagln2,4.51E-60,3.994221858,0.57,0.106,1.82E-55,UP
Hmga2-ps1,6.15E-49,3.986579484,0.331,0.007,2.47E-44,UP
Ctsz,9.91E-81,3.954877013,0.984,0.333,3.98E-76,UP
Cmtm7,2.05E-87,3.953499805,0.7,0.07,8.23E-83,UP
Fes,1.20E-47,3.948801141,0.563,0.054,4.81E-43,UP
Nfatc1,9.31E-63,3.946795383,0.464,0.05,3.74E-58,UP
Pon3,1.89E-51,3.933614446,0.399,0.011,7.61E-47,UP
H2-K1,4.11E-55,3.924952984,0.788,0.149,1.65E-50,UP
Slamf9,1.30E-48,3.914437751,0.349,0.016,5.24E-44,UP
Nfkbia,3.81E-66,3.911188215,0.939,0.32,1.53E-61,UP
Klk8,5.60E-67,3.909795909,0.426,0.009,2.25E-62,DIFF
Cryba4,2.18E-57,3.905797231,0.523,0.007,8.77E-53,UP
Il21r,1.20E-54,3.893937018,0.5,0.02,4.85E-50,UP
Tmem37,5.78E-47,3.878431709,0.34,0.002,2.32E-42,UP
Gm35154,4.42E-53,3.876641307,0.39,0.038,1.78E-48,UP
Ncf2,1.50E-79,3.870195796,0.838,0.207,6.04E-75,UP
Cass4,2.81E-45,3.84377833,0.423,0.074,1.13E-40,UP
Psmb9,3.29E-77,3.843325467,0.462,0.007,1.32E-72,UP
Golm1,6.02E-42,3.805633897,0.917,0.194,2.42E-37,UP
Tec,1.77E-47,3.804068437,0.457,0.043,7.12E-43,UP
Prkch,2.11E-67,3.794609842,0.586,0.216,8.50E-63,UP
Rab32,1.50E-29,3.777480754,0.392,0.016,6.01E-25,UP
Gm14005,4.60E-44,3.768994448,0.381,0.038,1.85E-39,DIFF
Myd88,3.66E-34,3.766718605,0.527,0.052,1.47E-29,UP
Limd2,4.75E-77,3.758316166,0.955,0.203,1.91E-72,UP
Arap1,1.79E-32,3.743809497,0.597,0.101,7.21E-28,UP
Adrb2,9.43E-21,3.739308773,0.349,0.005,3.79E-16,UP
Tifab,1.30E-39,3.73379403,0.304,0,5.23E-35,UP
Tnfaip8,1.63E-55,3.729638865,0.651,0.261,6.55E-51,UP
Cd48,1.05E-51,3.728030655,0.354,0.056,4.24E-47,UP
Sh3tc1,1.26E-30,3.725083295,0.273,0.011,5.05E-26,DIFF
Ctsd,3.49E-264,3.715421175,1,0.908,1.40E-259,UP
A630001G21Rik,5.41E-50,3.714155711,0.342,0.025,2.17E-45,UP
Hvcn1,1.52E-81,3.704125739,0.664,0.18,6.13E-77,UP
Ptafr,2.74E-58,3.698244113,0.401,0.178,1.10E-53,UP
Phyhd1,2.02E-93,3.695796872,0.935,0.477,8.11E-89,UP
Bcl2a1d,1.09E-76,3.685613752,0.502,0.014,4.37E-72,UP
Mylip,3.60E-44,3.683922716,0.714,0.119,1.45E-39,UP
Lrrk1,3.38E-54,3.671265112,0.405,0.09,1.36E-49,UP
Apobec3,9.30E-67,3.652146162,0.405,0.061,3.74E-62,UP
Bst2,2.03E-69,3.641429452,0.459,0.002,8.15E-65,UP
Hk2,2.35E-84,3.640773826,0.583,0.038,9.44E-80,UP
Fcrl1,4.37E-37,3.624838188,0.297,0.007,1.76E-32,UP
1700112E06Rik,1.35E-76,3.618603133,0.773,0.597,5.42E-72,UP
Fcgrt,1.53E-36,3.614008656,0.527,0.05,6.15E-32,UP
Themis2,4.07E-53,3.61209562,0.336,0.101,1.64E-48,UP
Dennd1c,7.11E-43,3.600073914,0.369,0.032,2.86E-38,UP
Slc7a7,5.25E-37,3.589283174,0.536,0.124,2.11E-32,UP
Sp110,1.95E-69,3.583909823,0.444,0.023,7.85E-65,UP
Arhgap9,4.24E-40,3.574123268,0.322,0.025,1.71E-35,UP
Csf2rb,2.83E-36,3.570844936,0.304,0.002,1.14E-31,UP
Il13ra1,6.27E-27,3.56913716,0.448,0.043,2.52E-22,UP
Gch1,1.16E-25,3.56906839,0.401,0.036,4.67E-21,DIFF
H2-T23,7.15E-59,3.565529126,0.669,0.164,2.88E-54,UP
H2-DMb1,2.45E-59,3.554459328,0.412,0.016,9.84E-55,UP
Gm8995,3.21E-32,3.536742208,0.255,0.043,1.29E-27,UP
Tspo,4.36E-42,3.514180426,0.417,0.029,1.75E-37,UP
Zc3h12a,1.59E-82,3.51332029,0.529,0.025,6.41E-78,DIFF
Gna15,1.82E-34,3.509464036,0.509,0.072,7.33E-30,UP
Plxna4os1,5.35E-52,3.50541019,0.41,0.036,2.15E-47,UP
Tnfrsf13b,4.78E-25,3.504314481,0.405,0.038,1.92E-20,UP
D17H6S56E-5,1.11E-22,3.504306076,0.333,0.041,4.47E-18,UP
Pdlim4,3.08E-37,3.501932042,0.676,0.061,1.24E-32,UP
Tmem176a,1.28E-31,3.495470708,0.644,0.059,5.14E-27,UP
Nfkbie,1.32E-28,3.46907381,0.543,0.063,5.29E-24,DIFF
Elf4,4.76E-42,3.467112757,0.381,0.054,1.91E-37,UP
Itga5,3.49E-25,3.439920795,0.484,0.108,1.40E-20,DIFF
Tgfa,4.53E-23,3.429658335,0.417,0.038,1.82E-18,UP
Zfp36l1,5.08E-68,3.426646255,0.818,0.072,2.04E-63,UP
Gem,2.48E-28,3.426453176,0.635,0.106,9.97E-24,DIFF
Zfhx3,4.72E-124,3.413831535,0.941,0.815,1.90E-119,UP
Siglece,3.26E-43,3.402448103,0.338,0.005,1.31E-38,UP
Stat6,1.22E-25,3.394512422,0.541,0.079,4.90E-21,UP
Sall3,4.68E-32,3.387244415,0.423,0.027,1.88E-27,UP
Kctd12,1.00E-45,3.376819277,0.912,0.198,4.03E-41,UP
Edn1,1.26E-07,3.375297981,0.255,0.036,0.005071803,DIFF
Frrs1,9.17E-30,3.37231213,0.426,0.083,3.69E-25,UP
Wdfy4,6.48E-33,3.37087629,0.387,0.045,2.60E-28,UP
Alox5ap,1.66E-40,3.370756216,0.847,0.115,6.67E-36,UP
Capg,8.14E-28,3.37037401,0.313,0.025,3.27E-23,DIFF
Slc40a1,9.31E-18,3.361206344,0.484,0.07,3.74E-13,UP
Ifngr1,1.82E-30,3.354768532,0.773,0.128,7.30E-26,UP
Wipf1,1.87E-32,3.331878253,0.511,0.101,7.50E-28,UP
Csf1,9.29E-18,3.331148525,0.387,0.086,3.74E-13,DIFF
Cysltr1,1.48E-20,3.312474179,0.207,0,5.94E-16,UP
G530011O06Rik,3.21E-45,3.299643994,0.678,0.227,1.29E-40,UP
Slc8b1,8.27E-40,3.295836721,0.338,0.025,3.33E-35,DIFF
Lgals3bp,3.48E-20,3.292256877,0.412,0.034,1.40E-15,UP
Ppp1r3b,5.12E-19,3.287478936,0.185,0.002,2.06E-14,UP
Slc25a45,4.28E-50,3.286149786,0.489,0.293,1.72E-45,UP
Lpxn,7.38E-24,3.284296766,0.529,0.086,2.97E-19,UP
Rhbdf2,1.88E-56,3.275038645,0.419,0.149,7.54E-52,DIFF
Gng10,1.33E-72,3.264535132,0.98,0.383,5.35E-68,UP
Tubb6,1.40E-27,3.254663115,0.633,0.198,5.62E-23,DIFF
Snx20,2.96E-34,3.250162188,0.468,0.036,1.19E-29,UP
H2-Oa,2.66E-33,3.245112498,0.297,0.005,1.07E-28,UP
1810011H11Rik,8.61E-24,3.243817268,0.232,0,3.46E-19,UP
Hcls1,1.38E-71,3.235985366,0.658,0.115,5.56E-67,UP
Gm36025,1.01E-42,3.232194587,0.331,0.036,4.05E-38,UP
1600010M07Rik,1.44E-32,3.228860416,0.295,0.007,5.81E-28,UP
Tmem176b,4.79E-38,3.225695973,0.919,0.155,1.92E-33,UP
Rin3,9.46E-36,3.218340284,0.369,0.038,3.81E-31,UP
Pmaip1,1.23E-26,3.215389034,0.252,0.014,4.94E-22,DIFF
Smagp,8.98E-47,3.206709149,0.41,0.016,3.61E-42,UP
Ets1,3.18E-33,3.202680799,0.529,0.097,1.28E-28,UP
Hk3,1.55E-21,3.200790681,0.432,0.052,6.22E-17,UP
Nmi,9.18E-30,3.191470532,0.318,0.034,3.69E-25,UP
Pald1,6.82E-23,3.166914682,0.613,0.167,2.74E-18,UP
Zc3hav1,4.26E-42,3.163924342,0.446,0.149,1.71E-37,UP
Ccr1,2.98E-10,3.152124938,0.119,0,1.20E-05,UP
Tnfrsf11a,3.40E-20,3.140839067,0.495,0.14,1.37E-15,UP
Liph,1.64E-29,3.140562942,0.297,0.059,6.60E-25,DIFF
Ggta1,1.88E-19,3.136218222,0.245,0.032,7.56E-15,UP
Nuak2,4.20E-19,3.128648726,0.216,0.011,1.69E-14,DIFF
Dnase2a,7.60E-27,3.128644797,0.523,0.104,3.06E-22,UP
Ltbr,7.05E-35,3.12186886,0.39,0.041,2.84E-30,UP
Trim30a,2.49E-53,3.121306296,0.381,0.137,1.00E-48,UP
Il7r,2.99E-19,3.119080695,0.2,0.005,1.20E-14,DIFF
Ugt1a7c,3.66E-32,3.115716371,0.3,0.002,1.47E-27,UP
Rinl,2.82E-16,3.107661988,0.315,0.047,1.13E-11,UP
Batf,5.25E-80,3.106299792,0.604,0.297,2.11E-75,UP
Grn,1.11E-59,3.100882376,0.989,0.48,4.45E-55,UP
Tmem123,8.81E-20,3.096831246,0.468,0.072,3.54E-15,UP
Cebpa,3.06E-105,3.092954391,0.669,0.014,1.23E-100,UP
Socs3,1.81E-23,3.088898294,0.502,0.047,7.30E-19,UP
Myl12a,7.66E-45,3.087592005,0.926,0.234,3.08E-40,UP
I830077J02Rik,4.01E-29,3.084813911,0.291,0.007,1.61E-24,UP
Cdk6,3.11E-76,3.076622204,0.917,0.8,1.25E-71,UP
Pilra,1.53E-30,3.076153441,0.331,0.025,6.16E-26,UP
Tns3,4.10E-28,3.0662127,0.748,0.2,1.65E-23,UP
Nlrp1b,1.56E-42,3.063789396,0.34,0.088,6.27E-38,UP
Tlr4,6.16E-17,3.061795101,0.182,0.007,2.48E-12,UP
Traf5,4.30E-14,3.054010435,0.378,0.041,1.73E-09,UP
Npc2,1.44E-49,3.047211544,0.973,0.329,5.79E-45,UP
Gpr56,2.53E-40,3.041758457,0.892,0.257,1.02E-35,UP
Smim3,1.63E-19,3.037502147,0.635,0.106,6.54E-15,UP
Tnni2,7.76E-24,3.027297215,0.245,0.002,3.12E-19,DIFF
Lrmp,1.76E-16,3.025438607,0.318,0.065,7.08E-12,UP
Igh,1.60E-110,3.019090251,0.975,0.793,6.45E-106,UP
Spint1,6.03E-18,3.01007332,0.194,0.005,2.43E-13,DIFF
Col27a1,1.99E-30,2.997349094,0.473,0.045,7.98E-26,UP
Irak2,3.01E-25,2.996867729,0.642,0.232,1.21E-20,UP
Tmsb4x,2.85E-246,2.991685429,1,0.991,1.15E-241,UP
Casp1,7.36E-17,2.989764778,0.32,0.014,2.96E-12,UP
Dapp1,1.20E-22,2.986768842,0.619,0.124,4.84E-18,UP
0610040J01Rik,9.54E-21,2.974260679,0.565,0.11,3.84E-16,UP
Zfp36l2,2.15E-45,2.973079403,0.613,0.095,8.64E-41,UP
Gltp,3.24E-29,2.96889707,0.856,0.221,1.30E-24,UP
Ildr1,1.46E-25,2.963553504,0.239,0.041,5.87E-21,DIFF
Lat2,5.46E-21,2.960794571,0.525,0.133,2.20E-16,UP
Mlph,4.44E-26,2.958853007,0.255,0.011,1.79E-21,UP
Galnt6,8.13E-23,2.95638103,0.27,0.052,3.27E-18,DIFF
Lacc1,2.16E-15,2.950674864,0.577,0.072,8.68E-11,UP
Was,1.95E-54,2.939836935,0.428,0.027,7.83E-50,UP
Icosl,1.26E-20,2.936725825,0.329,0.02,5.09E-16,UP
Dcxr,6.62E-22,2.935629637,0.563,0.041,2.66E-17,UP
Rrad,2.89E-15,2.921386023,0.39,0.043,1.16E-10,DIFF
Myl2,1.61E-29,2.918068145,0.297,0.007,6.47E-25,DIFF
Uba7,6.07E-18,2.893132384,0.261,0.016,2.44E-13,UP
Sdc4,2.90E-20,2.882939507,0.509,0.077,1.16E-15,UP
Zeb2os,5.91E-53,2.877122086,0.806,0.131,2.38E-48,UP
Mcm3,1.98E-13,2.874354267,0.196,0.007,7.98E-09,DIFF
Fam167b,3.02E-28,2.871144934,0.302,0.002,1.21E-23,UP
B4galt1,8.02E-28,2.870741041,0.745,0.291,3.23E-23,UP
Pik3r6,8.61E-20,2.869737597,0.205,0.029,3.46E-15,UP
Tlr6,4.57E-22,2.868721321,0.241,0.032,1.84E-17,UP
Cib1,2.99E-28,2.861706841,0.736,0.176,1.20E-23,UP
Fhod1,1.37E-31,2.857370994,0.381,0.036,5.52E-27,UP
Ebi3,2.27E-21,2.856823598,0.358,0.041,9.11E-17,UP
Ms4a6c,7.26E-19,2.849254314,0.212,0.005,2.92E-14,UP
5430427O19Rik,2.16E-16,2.84783288,0.27,0.081,8.67E-12,UP
Tcf7l2,7.95E-47,2.845113108,0.588,0.223,3.20E-42,UP
Plcg2,7.37E-27,2.842673578,0.649,0.133,2.96E-22,UP
Gp9,1.28E-19,2.842288712,0.291,0.018,5.13E-15,UP
Naip5,2.07E-23,2.835033374,0.248,0.027,8.30E-19,UP
Arhgap11a,3.18E-12,2.834448583,0.223,0.02,1.28E-07,DIFF
Ninj1,2.50E-34,2.828296211,0.883,0.336,1.00E-29,UP
Rcan1,1.88E-36,2.821386701,0.892,0.556,7.58E-32,DIFF
Hcst,4.55E-34,2.821090618,0.338,0.002,1.83E-29,UP
Fmnl3,1.47E-23,2.816251206,0.75,0.257,5.93E-19,UP
Sipa1,1.16E-27,2.802756137,0.779,0.286,4.65E-23,UP
Stard8,3.44E-24,2.798898854,0.464,0.079,1.38E-19,UP
Rps6ka1,2.70E-31,2.793683921,0.881,0.306,1.09E-26,UP
Il6ra,1.22E-27,2.773135867,0.673,0.153,4.90E-23,UP
Ggt5,7.65E-22,2.769545384,0.232,0.043,3.08E-17,UP
Arl11,1.68E-14,2.763275947,0.178,0.005,6.75E-10,UP
Jak3,3.68E-14,2.753274929,0.34,0.092,1.48E-09,UP
Trim30d,1.08E-28,2.748515016,0.257,0.07,4.35E-24,UP
