"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"6682","Gm33989",7.05537234205372e-08,2.55345340812305,0.404,0.416,0.00296713683845069
"6683","Mir24-2",7.0598378090365e-08,3.46607023098969,0.174,0.047,0.0029690147905903
"6684","Polr2h",7.09254218824007e-08,-0.891991674746895,0.191,0.847,0.00298276861726436
"6685","Zfp131",7.27169125894869e-08,-0.849330849130292,0.354,0.838,0.00305810975895087
"6686","Leprot",7.29596775941538e-08,2.45663848326726,0.506,0.469,0.00306831924122214
"6687","Gm6322",7.31003740218916e-08,-0.44697397526007,0.045,0.3,0.00307423622949065
"6688","Clip1",7.37738523787982e-08,-0.412298987437213,0.669,0.969,0.00310255936179036
"6689","Timm44",7.51542606027837e-08,-0.808915379165818,0.258,0.896,0.00316061242965007
"6690","Gm29770",7.62146121799767e-08,-0.311305327740472,0.202,0.436,0.00320520551522892
"6691","Tmem100",7.7361103651402e-08,5.17543808653046,0.264,0.04,0.00325342121405971
"6692","Gm4332",7.86940487158495e-08,0.962459532203676,0.573,0.553,0.00330947821874505
"6693","LOC105243394",8.04792987198685e-08,-2.69549897687082,0,0.113,0.00338455690766407
"6694","Slc25a37",8.06535548598154e-08,3.04153273545714,0.331,0.269,0.00339188524962954
"6695","Magef1",8.18751174117418e-08,-1.15175263774281,0.118,0.72,0.0034432580627508
"6696","Ide",8.19219488281518e-08,-1.25485405126865,0.191,0.767,0.00344522755796792
"6697","D10Jhu81e",8.19241177680716e-08,-0.960179207039162,0.169,0.869,0.00344531877273625
"6698","Tiprl",8.29595092162455e-08,-0.851442599425386,0.348,0.931,0.00348886216008921
"6699","Mif-ps8",8.34184525116017e-08,-0.440206042406199,0.045,0.296,0.00350816302037541
"6700","Gm34810",8.52629427407593e-08,2.71566050806041,0.213,0.184,0.00358573305696263
"6701","Snx12",8.59263358559579e-08,-0.820801698207378,0.388,0.929,0.00361363205442231
"6702","Lrrfip1",8.67734765973267e-08,-0.620629821717372,0.494,0.964,0.00364925855830057
"6703","Ipo5",8.81561559432029e-08,-1.10521228741157,0.253,0.849,0.0037074071381914
"6704","LOC105245767",8.82124186401428e-08,-0.184426053674922,0.483,0.656,0.0037097732659112
"6705","Smap1",8.85107992008806e-08,-0.426799060306938,0.573,0.956,0.00372232166039303
"6706","Bloc1s6",8.89887443817305e-08,-1.45179958026663,0.174,0.756,0.00374242164497367
"6707","Ddx39",8.91766330626832e-08,-1.58454318849715,0.14,0.684,0.00375032330345114
"6708","Epor",8.92060001182413e-08,4.104746643921,0.208,0.013,0.00375155833497264
"6709","Mgat5",9.08011119236267e-08,1.99305201247579,0.528,0.671,0.00381864076194812
"6710","Tcerg1",9.20434619592637e-08,-0.833418630628755,0.315,0.902,0.00387088779269684
"6711","E2f3",9.25253263243409e-08,2.50100200074256,0.348,0.436,0.00389115259857016
"6712","Apoa2",9.31746594341326e-08,-1.55850089113642,0.017,0.189,0.00391846030250245
"6713","Edem2",9.33232840258941e-08,2.46033609149511,0.41,0.54,0.00392471070970898
"6714","Dnaic1",9.34372449949087e-08,-2.24425539402003,0.017,0.12,0.00392950333826089
"6715","Tmem123",9.3538141669259e-08,4.2456462533419,0.23,0.069,0.00393374654790069
"6716","Wdr44",9.51604457797254e-08,2.2351363049742,0.483,0.536,0.00400197254726635
"6717","Setd2",9.70165037172576e-08,1.60025770050692,0.68,0.836,0.00408002906382927
"6718","Lsm6",9.81987119967696e-08,-0.505506666537448,0.517,0.978,0.00412974683302415
"6719","Fam45a",9.94668822954023e-08,-0.719334626246406,0.371,0.902,0.00418307973493314
"6720","Gm14824",9.95822083969432e-08,-2.57585014804348,0,0.113,0.00418792977413345
"6721","Gm6181",9.96671594168281e-08,-0.32491725247179,0.264,0.496,0.00419150238927471
"6722","Zfp90",1.0116843658458e-07,2.49215581320332,0.466,0.422,0.00425463860056451
"6723","Fras1",1.02335983159239e-07,-1.83295267548738,0.118,0.202,0.00430373977176181
"6724","Gm14586",1.03930440981426e-07,-0.0590886291372499,0.798,0.962,0.00437079469547389
"6725","Gpr146",1.04568573850506e-07,4.57448150393378,0.275,0.078,0.00439763137328303
"6726","Atp8a2",1.04726683520904e-07,1.93630384349977,0.522,0.831,0.00440428067547161
"6727","Gm12111",1.05068482153768e-07,-0.413693186595965,0.101,0.32,0.00441865501697672
"6728","Abcb8",1.05185190979768e-07,-1.48537090662529,0.112,0.562,0.00442356320665415
"6729","Gxylt1",1.05676202150455e-07,2.74396041922284,0.343,0.331,0.00444421268143737
"6730","Oma1",1.05839648302762e-07,3.38557901271211,0.275,0.28,0.00445108640937267
"6731","Azin1",1.06001601356973e-07,-0.631199167303878,0.461,0.956,0.00445789734506749
"6732","Tmem68",1.06111542063017e-07,-0.836034866665329,0.303,0.907,0.00446252090146016
"6733","Entpd2",1.06231107421386e-07,-2.29271843008364,0.045,0.111,0.00446754922260637
"6734","Sox4",1.07099466133603e-07,2.9106361925599,0.253,0.327,0.00450406804824869
"6735","Stk3",1.08583639313296e-07,2.02109613659503,0.449,0.576,0.00456648495132066
"6736","Mrpl23",1.08684081654985e-07,-0.491663463363522,0.562,0.98,0.0045707090540004
"6737","Zfp444",1.09016110872691e-07,-0.842468701393666,0.225,0.858,0.00458467254275104
"6738","Degs1",1.1006803275829e-07,-0.610854667917904,0.41,0.938,0.0046289111176499
"6739","Eif1-ps2",1.10449449980267e-07,-0.252039772648384,0.298,0.529,0.00464495161892012
"6740","Mtmr9",1.12155671935214e-07,-1.14226049234512,0.14,0.753,0.00471670678323544
"6741","Gpr173",1.12344204788439e-07,-3.00471816158417,0.022,0.24,0.00472463553237778
"6742","Csad",1.15454177830671e-07,2.26703591021759,0.5,0.48,0.00485542544866887
"6743","U2af1",1.16024494168249e-07,-0.417056577844059,0.584,0.991,0.0048794101022457
"6744","Icosl",1.17043502105712e-07,4.50120564283363,0.258,0.022,0.0049222644810557
"6745","Ext1",1.17666714601498e-07,1.61458220403695,0.669,0.778,0.004948473682566
"6746","H2afy",1.1774229914106e-07,-0.536481140795813,0.584,0.993,0.00495165239037727
"6747","Ugp2",1.20081754108375e-07,-0.755609333536468,0.36,0.9,0.0050500381690277
"6748","Npnt",1.22496409824687e-07,-2.62920557825623,0.056,0.216,0.0051515865151772
"6749","1810043G02Rik",1.23228042059939e-07,-1.26157555826019,0.169,0.713,0.00518235530883072
"6750","Pfdn5",1.24083723910533e-07,-0.386272919772498,0.742,0.998,0.00521834100905748
"6751","Dnase1l1",1.25912375320563e-07,3.45555184509603,0.23,0.076,0.00529524494410628
"6752","Gm9211",1.26634327262853e-07,-0.408859583054272,0.056,0.3,0.00532560663303927
"6753","Gm4524",1.26662415275869e-07,3.76032570040449,0.27,0.093,0.00532678787442666
"6754","Gm9523",1.26792676696704e-07,-0.574489398499021,0.062,0.302,0.00533226601847988
"6755","Ap3s1-ps2",1.28340707181583e-07,-0.397488715382767,0.157,0.584,0.00539736844052147
"6756","Cops4",1.28518524178038e-07,-0.579484430580465,0.506,0.978,0.0054048465343074
"6757","Pnn",1.29951586157047e-07,-0.558120440227965,0.494,0.964,0.00546511395583463
"6758","Mta3",1.30219259060302e-07,-1.13982065926267,0.309,0.887,0.00547637093978101
"6759","Tmem206",1.31007519883156e-07,2.34797687749437,0.455,0.458,0.00550952124868611
"6760","Nrm",1.31397279657628e-07,4.40908539329415,0.213,0.082,0.00552591259600155
"6761","Prmt7",1.3318856960002e-07,-1.01145699971494,0.191,0.811,0.00560124529452883
"6762","Dkc1",1.3734228351101e-07,-1.39924211072365,0.146,0.718,0.00577592973305551
"6763","Ibtk",1.37364096187995e-07,-1.51237202271033,0.124,0.587,0.00577684706518613
"6764","Gm20172",1.38231204972886e-07,-2.14392074714719,0.006,0.118,0.00581331332513474
"6765","Rpn1",1.38620829269342e-07,-0.649524572240463,0.489,0.951,0.00582969897492216
"6766","Fpr1",1.38764952095464e-07,5.39709656946358,0.135,0.009,0.00583576006037472
"6767","Dym",1.38801604885362e-07,-0.749924146802389,0.556,0.949,0.00583730149345389
"6768","Eif3h",1.40343801593506e-07,-0.463921155218268,0.596,0.989,0.00590215857601489
"6769","Fgfr1",1.41077741278853e-07,-1.62761143803955,0.079,0.431,0.00593302440948215
"6770","Kcnk13",1.43276785847403e-07,3.20471911749764,0.348,0.176,0.00602550522881252
"6771","Dhx57",1.44498144694978e-07,-0.930436189531439,0.18,0.747,0.00607686947514729
"6772","Slc16a10",1.46652849562107e-07,2.5042142616872,0.382,0.302,0.0061674855883344
"6773","Cyp4f13",1.47004815313672e-07,3.64733639345938,0.32,0.149,0.00618228750801648
"6774","Mir344i",1.4883179360403e-07,-1.23334272089699,0,0.169,0.00625912108001746
"6775","Lta4h",1.49352849704067e-07,-1.03031610281407,0.354,0.911,0.00628103409430456
"6776","Sbds",1.51959661764774e-07,-0.535075938191095,0.64,0.978,0.00639066357551756
"6777","Rhot1",1.53367613702989e-07,-0.836956876144307,0.674,0.933,0.0064498749942792
"6778","Ddx26b",1.55394879757615e-07,1.76863203309623,0.624,0.762,0.0065351316682065
"6779","4930526A20Rik",1.56277175248558e-07,-0.396327716449859,0.14,0.364,0.00657223660507809
"6780","Npc1",1.56967729644105e-07,1.46043087548283,0.657,0.891,0.00660127787018282
"6781","Insig2",1.57234503006492e-07,-0.822256887731506,0.326,0.902,0.00661249702393803
"6782","Rcl1",1.57354306747041e-07,-1.64595606191418,0.152,0.64,0.00661753537024681
"6783","Bmx",1.58056423120891e-07,-0.397753900781931,0.174,0.398,0.00664706287434906
"6784","Eepd1",1.59206284824189e-07,-1.25642725262345,0.242,0.711,0.00669542030828126
"6785","Gm5452",1.59257079588781e-07,-0.420494912454021,0.169,0.342,0.00669755648210619
"6786","Rbm25",1.6258214311264e-07,-0.369143045186554,0.871,0.998,0.00683739202860209
"6787","Ddx50",1.63174490706257e-07,-0.761167195999969,0.404,0.962,0.00686230320665162
"6788","Atp5s",1.65344651133821e-07,-0.97411929182689,0.247,0.844,0.00695356930343283
"6789","Gm6361",1.66436645060469e-07,-0.415440289828229,0.051,0.307,0.00699949310801801
"6790","Ilkap",1.67378832053807e-07,-0.569585646218603,0.303,0.929,0.00703911678202287
"6791","Gm6155",1.68404901120938e-07,-0.164263560292569,0.601,0.744,0.00708226811664103
"6792","Tmub2",1.70683882065083e-07,-0.872539367465736,0.298,0.92,0.00717811066024708
"6793","Polr2e",1.71279391393024e-07,-0.53108272321551,0.466,0.976,0.00720315480503363
"6794","Ccdc93",1.73201264075174e-07,2.59620708940083,0.444,0.422,0.00728397916068145
"6795","Slu7",1.74251892435537e-07,-0.674167084108609,0.247,0.847,0.00732816333637649
"6796","Gtf2a1",1.74367643930065e-07,1.18332169209562,0.798,0.913,0.00733303126547888
"6797","LOC102639882",1.74981139802775e-07,-1.83187724119167,0.017,0.184,0.0073588318344057
"6798","Camsap2",1.75471809143082e-07,-0.96370439883785,0.219,0.876,0.00737946693351229
"6799","Acbd5",1.75882788971746e-07,-0.705641295157693,0.376,0.878,0.00739675069020677
"6800","Nono",1.7918943045319e-07,-0.545523143563235,0.545,0.967,0.00753581149770891
