"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"108","DCLK1",0,-6.97147073897713,1,0.463,0
"109","DCLK2",0,-4.73629867960565,0.987,0.39,0
"110","DDAH1",0,-6.18934217689261,0.948,0.378,0
"111","DGCR5",0,-6.70580284987708,0.99,0.236,0
"112","DGKB",0,-8.44364179152181,1,0.711,0
"113","DGKI",0,-7.03701850393071,0.999,0.577,0
"114","DLG2",0,-4.07337463038323,1,0.992,0
"115","DLGAP1",0,-6.288987719925,1,0.943,0
"116","DLGAP1-AS5",0,-4.10912106054345,0.237,0,0
"117","DLGAP2",0,-6.23293047165777,1,0.687,0
"118","DMD",0,-6.23642610385867,1,0.988,0
"119","DOCK3",0,-4.12240963734246,1,0.894,0
"120","DOCK4",0,3.10642535547366,0.998,1,0
"121","DOCK8",0,9.8516644022729,0.422,0.976,0
"122","DOCK9",0,-4.4438595205669,0.985,0.756,0
"123","DPP10",0,-5.98268105005396,0.999,0.878,0
"124","DPP6",0,-6.28067781166256,0.999,0.886,0
"125","DPY19L2",0,-5.85770861340566,0.995,0.833,0
"126","DPY19L2P1",0,-7.65376707596055,0.999,0.301,0
"127","DPYD",0,-4.97336772853905,0.995,0.48,0
"128","DZIP1",0,-6.79550123352452,0.904,0.256,0
"129","EFNA5",0,-6.88469460068642,0.982,0.402,0
"130","ELMOD1",0,-5.73827411002009,0.969,0.301,0
"131","EML6",0,-5.00134573678522,0.999,0.573,0
"132","ENC1",0,-4.00524985792906,0.995,0.126,0
"133","ENOX1",0,-6.28924168131725,0.996,0.516,0
"134","EPHA4",0,-7.44058583330204,0.991,0.329,0
"135","EPHA5",0,-5.01192339335543,0.994,0.967,0
"136","EPHA6",0,-6.52207318306645,0.991,0.569,0
"137","EPHB6",0,-5.58454611602668,0.877,0.041,0
"138","ERC2",0,-4.89290674861112,0.999,0.76,0
"139","ERICH1-AS1",0,-8.6497547709589,0.998,0.289,0
"140","FAM13C",0,-6.18840673797207,0.885,0.211,0
"141","FAM153A",0,-5.27137336266504,0.976,0.069,0
"142","FAM153B",0,-7.10245046488048,0.979,0.061,0
"143","FAM153C",0,-6.42440707836884,0.983,0.126,0
"144","FAM155A",0,-8.13064117371297,1,0.764,0
"145","FAM171A1",0,-5.61380225758652,0.981,0.443,0
"146","FAM19A1",0,-7.88003585815638,0.999,0.667,0
"147","FAM19A2",0,-5.14599153764187,0.995,0.663,0
"148","FAM81A",0,-6.02271865979732,0.941,0.39,0
"149","FAT3",0,-7.19438070099984,0.997,0.557,0
"150","FBXL2",0,-5.54393284160517,0.956,0.435,0
"151","FBXO16",0,-6.6008645084084,0.924,0.289,0
"152","FCGR2A",0,4.99491791814594,0.807,0.764,0
"153","FCGRT",0,7.28403056571699,0.233,0.589,0
"154","FGF12",0,-6.4131865527975,1,0.598,0
"155","FGF14",0,-7.27894495181716,1,0.671,0
"156","FHL1",0,-5.41178564887345,0.961,0.248,0
"157","FHOD3",0,-5.26933615963525,0.979,0.659,0
"158","FLRT2",0,-9.37650924388943,1,0.28,0
"159","FMN2",0,-5.83157420868345,0.999,0.589,0
"160","FOXN3",0,4.66675638371635,0.956,1,0
"161","FRMD4A",0,1.33519978849399,1,1,0
"162","FRMD4B",0,5.95595034894178,0.719,0.846,0
"163","FRMD5",0,-7.02488489501705,0.998,0.813,0
"164","FRMPD4",0,-7.17772216281845,1,0.724,0
"165","FRRS1L",0,-5.83018083030199,0.965,0.167,0
"166","FRY",0,-7.4552452598433,0.995,0.317,0
"167","FYB",0,9.83199436495369,0.262,0.959,0
"168","FZD3",0,-5.73860796518992,0.974,0.163,0
"169","GABBR2",0,-6.31712079853175,0.999,0.533,0
"170","GABRA2",0,-6.57893237483988,0.989,0.224,0
"171","GABRA4",0,-5.65745818911392,0.962,0.077,0
"172","GABRB1",0,-6.62947436992864,0.999,0.549,0
"173","GABRB2",0,-5.50811848906141,0.997,0.276,0
"174","GABRB3",0,-6.61717187806475,1,0.37,0
"175","GABRG3",0,-6.23652995138692,0.974,0.504,0
"176","GALNT18",0,-8.10424949213171,0.982,0.224,0
"177","GALNTL6",0,-5.16347016760459,0.991,0.772,0
"178","GAPDHP66",0,-4.10180579479769,0.214,0,0
"179","GAS2",0,-5.89600254507618,0.91,0.301,0
"180","GDA",0,-6.82469012519444,0.941,0.435,0
"181","GFOD1",0,-5.72592930853105,0.975,0.248,0
"182","GLRA3",0,-5.95427574380278,0.911,0.228,0
"183","GNAO1",0,-4.85159927403157,0.965,0.382,0
"184","GNB5",0,-5.50270589967304,0.949,0.183,0
"185","GOLGA8B",0,-7.24886025296359,0.999,0.134,0
"186","GPC6",0,-6.83507876593196,0.974,0.667,0
"187","GPM6A",0,-4.06153502174596,1,0.744,0
"188","GRIA1",0,-6.78096232572528,0.989,0.419,0
"189","GRIA2",0,-6.5914277690479,1,0.476,0
"190","GRIA3",0,-7.12969630884793,0.998,0.341,0
"191","GRIA4",0,-9.0050544998937,1,0.427,0
"192","GRID1",0,-5.31730081248941,0.989,0.589,0
"193","GRIK2",0,-6.06500152967727,1,0.622,0
"194","GRIN2A",0,-6.61750018982977,1,0.61,0
"195","GRIN2B",0,-6.05936090033454,0.999,0.447,0
"196","GRM1",0,-6.26174067401941,0.986,0.386,0
"197","GRM5",0,-6.39194841395507,1,0.561,0
"198","GRM7",0,-7.06781215616399,0.999,0.634,0
"199","GUCY1A2",0,-6.0447060616828,0.988,0.451,0
"200","GULP1",0,-7.97015370189443,0.945,0.195,0
"201","HCK",0,7.78588487726212,0.293,0.691,0
"202","HCN1",0,-6.12917172246124,0.998,0.683,0
"203","HECW1",0,-7.06450771788223,0.999,0.48,0
"204","HECW2",0,-5.35622138153972,0.997,0.573,0
"205","HIVEP2",0,-4.84368440206009,0.973,0.187,0
"206","HOMER1",0,-4.16169035280182,0.995,0.423,0
"207","HS6ST3",0,-6.71839703280645,1,0.691,0
"208","HSPA12A",0,-6.71808881919907,0.971,0.297,0
"209","HTR1E",0,-7.10431728177809,0.898,0.114,0
"210","HYDIN2",0,-6.43265983580746,0.982,0.341,0
"211","IL13RA1",0,8.43016277991361,0.187,0.589,0
"212","IL1RAPL1",0,-7.17145375610558,1,0.931,0
"213","IQCA1",0,-6.1887669088422,0.926,0.317,0
"214","IQCJ-SCHIP1",0,-6.85936310688669,0.719,0.016,0
"215","ISPD",0,-5.50109465078275,0.944,0.508,0
"216","ITGAM",0,7.31335082060837,0.457,0.74,0
"217","ITGAX",0,8.58659662857358,0.17,0.943,0
"218","JAKMIP2",0,-5.80876923065181,0.975,0.374,0
"219","JPH1",0,-6.73666126431042,0.885,0.171,0
"220","JPH4",0,-5.56539204832796,0.844,0.024,0
"221","KALRN",0,-8.08051565669726,1,0.663,0
"222","KCNB1",0,-7.45304285203493,0.986,0.293,0
"223","KCNB2",0,-7.24771581741459,0.989,0.435,0
"224","KCNC2",0,-7.03451171132252,0.989,0.289,0
"225","KCND2",0,-7.54838833650156,1,0.52,0
"226","KCND3",0,-6.03930161748714,0.955,0.22,0
"227","KCNH1",0,-5.82391054524996,1,0.976,0
"228","KCNH3",0,-6.49232616703298,0.917,0.045,0
"229","KCNH7",0,-7.50464804492001,0.908,0.325,0
"230","KCNIP4",0,-9.84192523226993,1,0.911,0
"231","KCNIP4-IT1",0,-8.76122899381171,0.964,0.061,0
"232","KCNJ3",0,-5.42901011892461,0.992,0.28,0
"233","KCNJ6",0,-6.26745184816258,0.976,0.309,0
"234","KCNK1",0,-6.34131210809538,0.97,0.122,0
"235","KCNQ5",0,-6.01532418850617,1,0.593,0
"236","KCNT1",0,-5.73261247810192,0.905,0.093,0
"237","KCNT2",0,-6.35400615960599,0.919,0.35,0
"238","KCTD1",0,-4.94054094478917,0.997,0.301,0
"239","KCTD16",0,-6.6992226355397,1,0.492,0
"240","KCTD4",0,-5.49403673882705,0.268,0,0
"241","KHDRBS2",0,-7.45406150633365,1,0.63,0
"242","KIAA0319",0,-6.78138435963796,0.875,0.236,0
"243","KIAA1217",0,-5.38412017382139,0.992,0.882,0
"244","KIAA1549L",0,-5.63860614649499,0.999,0.541,0
"245","KIF5C",0,-4.75693656068384,0.996,0.211,0
"246","KIRREL3",0,-5.98305763215036,0.997,0.317,0
"247","KLHL4",0,-7.05640534847903,0.823,0.248,0
"248","KNDC1",0,-6.4859819188308,0.859,0.081,0
"249","KSR2",0,-5.49864302099583,0.999,0.854,0
"250","KYNU",0,6.75088764458338,0.39,0.451,0
"251","LAMB1",0,-5.24099988422705,0.96,0.215,0
"252","LDB2",0,-7.29381765134628,1,0.39,0
"253","LHFPL4",0,-6.14534067097711,0.923,0.37,0
"254","LIMCH1",0,-6.49907911793926,0.999,0.748,0
"255","LIN7A",0,-6.62175434483164,0.952,0.183,0
"256","LINC00461",0,-5.91496099348999,0.986,0.211,0
"257","LINC00599",0,-8.61338626250833,0.995,0.081,0
"258","LINC00632",0,-7.94659625342269,0.999,0.443,0
"259","LINC01122",0,-6.81924658928078,0.989,0.366,0
"260","LINC01250",0,-8.54454953090456,0.998,0.285,0
"261","LINC01378",0,-7.87768553220436,0.911,0.337,0
"262","LINGO2",0,-8.43076274020003,1,0.785,0
"263","LMO3",0,-5.25618423483672,0.963,0.106,0
"264","LONRF2",0,-8.31555465392461,0.984,0.163,0
"265","LPAR5",0,6.87982930240048,0.294,0.675,0
"266","LPPR4",0,-5.57796063271058,0.956,0.122,0
"267","LRFN2",0,-5.56014694020793,0.979,0.228,0
"268","LRFN5",0,-7.82179277315818,1,0.435,0
"269","LRRC4C",0,-4.92140494014256,0.999,0.886,0
"270","LRRC7",0,-8.97785697285045,1,0.785,0
"271","LRRTM4",0,-9.92443863121773,1,0.801,0
