"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","Glutamatergic","Astrocyte","Endothelial","GABAergic","Microglia","Oligo.OPC"
"1","BT170919-01_E1-50_S04","Glutamatergic","Superficial.Layers_on",191.148751012917,0.873494837253657,NA,0.466993554813525,-Inf,0.209203392374652,NA,0.260654183453722,0.261114888690163,0.105136711842401
"2","BT170919-01_E1-50_S06","Glutamatergic","Superficial.Layers_on",103.131698477249,0.471282211888428,NA,0.179171909053778,-Inf,0.0838249990861047,NA,0.0149289990325226,0.602481180995247,0.0119299219307298
"3","BT170919-01_E1-50_S23","Glutamatergic","Superficial.Layers_on",238.444200903904,1.08962144591025,NA,0.501785477454176,Inf,0.101982392794578,NA,0.0598949467915434,0.255519717990217,0.0695710922625159
"4","BT170919-01_E1-50_S25","Glutamatergic","Deep.Layers_on",128.83930645689,0.588758589470614,NA,0.454328353566403,-Inf,0.091818319515377,NA,0.246358621863112,0.0973209662487514,0.176411737009669
"5","BT170919-01_E1-50_S26","Glutamatergic","Superficial.Layers_on",185.747889742123,0.848814453982706,NA,0.538138669694488,-Inf,0.0131543206924341,NA,0.111928408321211,0.14372526662403,0.0477422737698209
"6","BT170919-01_E1-50_S27","Glutamatergic","Superficial.Layers_on",173.45223766221,0.792626858952357,NA,0.473243216691667,-Inf,0.0711808251432173,NA,0.020815757838253,0.055286882733625,0.0788848087588327
"7","BT170919-01_E1-50_S29","Glutamatergic","Superficial.Layers_on",148.787553615488,0.679916343905107,NA,0.465859641939139,-Inf,0.0736605966973053,NA,0.027287907246102,0.0557703068063208,0.192897126126813
"8","BT170919-01_E1-50_S38","Glutamatergic","Superficial.Layers_on",213.419102046277,0.975263938795689,NA,0.446422215644635,-Inf,0.0443252235574927,NA,0.0969661956121828,0.275147210157607,0.0126253930558045
"9","BT170919-01_E1-50_S40","Glutamatergic","Deep.Layers_on",158.788800174441,0.72561916534157,NA,0.478955221309681,-Inf,0.0130798066967783,NA,0.0314265208342661,0.025379636400329,0.0706818318438647
"10","BT170919-01_E1-50_S44","Glutamatergic","Superficial.Layers_on",126.345238185698,0.577361414510801,NA,0.180968694288088,-Inf,0.0863007720877176,NA,-0.082998112673518,0.585992307689478,-0.0213631287517892
"11","BT170919-01_E1-50_S45","Glutamatergic","Superficial.Layers_on",199.246237216763,0.910498021194494,NA,0.307612206837208,-Inf,0.186238982986416,NA,0.131817674945343,0.658985321419783,0.00140073900427005
"12","BT170919-01_E1-50_S46","Glutamatergic","Superficial.Layers_on",157.121062830798,0.717998085152203,NA,0.306869767546409,-Inf,0.00893150656371896,NA,-0.0748641262341911,0.349712915375912,-0.0160874367549613
"13","BT170919-01_E1-50_S51","Glutamatergic","Deep.Layers_on",209.528728417509,0.957486049786688,NA,0.523478592377721,-Inf,0.100322648889691,NA,0.382244999367586,0.289772611759902,0.0207821043549794
"14","BT170919-01_E1-50_S66","Glutamatergic","Superficial.Layers_on",179.69265840646,0.821143787645365,NA,0.355511126247449,-Inf,0.206385734345734,NA,0.107600117833957,0.346222125692842,0.0353914438488931
