"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","GABAergic","Astro","Endo","Glutamatergic","Microglia","Oligo","Peri","SMC","VLMC"
"2506","SM-GE681_S044_E1-50","GABAergic","Pvalb_on",155.43433569935,0.705883092316165,NA,0.417600669729188,-Inf,0.0385016869199671,NA,0.0934601094094684,0.00825544427826928,-0.00817784958181124,NA,NA,-0.0136304456433148
"2507","SM-GE681_S046_E1-50","GABAergic","Sst_on",181.820363159478,0.82571151100945,NA,0.377735453389984,-Inf,0.0383811365854624,NA,0.0722138598682525,0.00695405217772314,0.0359877355811451,NA,NA,0.0487284058136299
"2508","SM-GE681_S047_E1-50","GABAergic","Sst_on",156.813927761137,0.712148314902455,NA,0.304612726393825,-Inf,0.0888664024389765,NA,0.0592109351216441,0.0347156870365096,0.0776570607274269,NA,NA,0.0520115937825996
"2509","SM-GE681_S050_E1-50","GABAergic","Pvalb_on",144.462419790811,0.656055685165064,NA,0.443318488391265,-Inf,0.0730600189490094,NA,0.0492877427660013,0.0267360169268908,0.0295768457046924,NA,NA,0.0465333391577453
"2510","SM-GE681_S053_E1-50","GABAergic","Sst_on",183.155777196486,0.831776105332991,NA,0.309909817301196,-Inf,0.140253993691683,NA,0.140724279879262,0.279256095244669,0.0942711525019744,NA,NA,-0.0146283097742028
"2511","SM-GE681_S057_E1-50","GABAergic","Sst_on",182.25764084758,0.827697345897793,NA,0.391769884363678,-Inf,0.681821495840971,NA,0.189337484009936,0.119673069678259,0.0794890579785215,NA,NA,0.0044844477330694
"2512","SM-GE681_S059_E1-50","GABAergic","Sst_on",91.5353291546547,0.415694774961719,NA,0.129493369530639,-Inf,0.50182266243722,NA,0.396929030090964,0.546011924719879,0.0733846118660621,NA,NA,0.00942843350272954
"2513","SM-GE681_S065_E1-50","GABAergic","Sst_on",188.675790270793,0.856844465428499,NA,0.450729294806225,-Inf,-0.00695564305440503,NA,0.0890794086896785,0.00507440242508455,0.0488652405348729,NA,NA,0.00379658942845242
"2514","SM-GE681_S066_E1-50","GABAergic","Sst_on",162.983030274983,0.740164423053179,NA,0.412432738710197,-Inf,0.0619700940027683,NA,0.200018058372287,0.0278854273478657,0.0173816357231011,NA,NA,-0.00118390747814763
"2515","SM-GE681_S067_E1-50","GABAergic","Sst_on",131.517590680777,0.597268571233108,NA,0.347633497258304,-Inf,0.0936701686535544,NA,0.0866959058797427,0.00876266431351454,0.0533871996899359,NA,NA,-0.0202527278021296
