,ephys_session_id,adapt,avg_rate,first_isi,isi_cv,latency,mean_isi,median_isi,stim_amp,threshold_v,peak_v,trough_v,fast_trough_v,slow_trough_v,adp_v,width,upstroke_downstroke_ratio,peak_t,fast_trough_t,trough_t,slow_trough_t,rheo_first_isi,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau
195,sub-827914362_ses-828803732_icephys.nwb,0.006572097332822409,17.000340006800133,0.04793999999999998,0.05395896116614285,0.03734000000000004,0.05706374999999999,0.05712000000000006,170.0,-33.706253051757805,22.006250381469727,-54.8062515258789,-53.63750457763672,-54.8062515258789,,0.0015600000000000056,1.6226327589294918,0.65518,0.6643600000000001,0.6699200000000001,0.6699200000000001,0.21253999999999995,-76.08841094970703,130.0,0.285005700114002,0.04341475293040276,-91.4312515258789,133.24999809265137,0.006155223826806807
196,sub-724623723_ses-727851000_icephys.nwb,0.07971087188372307,8.000160003200065,0.05812000000000018,0.2753158413894277,0.05383999999999989,0.12637428571428574,0.13779999999999992,90.0,-34.84375,45.0625,-50.34375,-48.68750381469727,-50.34375,-44.31250381469727,0.0007800000000000028,1.0919926207162935,0.7749199999999999,0.77668,0.8266800000000001,0.8266800000000001,0.55308,-60.54814847310385,50.0,0.1421457000568583,0.03955663740634918,-93.25000762939452,276.09390020370483,0.04441326680578842
197,sub-809277295_ses-809691777_icephys.nwb,0.04034807958523303,21.00042000840017,0.013520000000000088,0.5151288005355544,0.009519999999999971,0.048976,0.04720000000000002,100.0,-39.962501525878906,36.11874771118164,-48.48750305175781,-45.3687515258789,,,0.0006599999999999938,1.169171832954484,0.5384399999999999,0.54038,0.55572,,,-72.25933151245117,59.99999618530274,0.4600092299392319,0.05274250358343125,-100.4562530517578,277.2812843322754,0.0090428783076344
198,sub-819254321_ses-825268971_icephys.nwb,0.2149438312884291,5.000100002000041,0.011259999999999937,0.867803319461837,0.03448000000000006,0.025214999999999987,0.014609999999999956,260.0,-32.99374771118164,12.75624942779541,-54.60625457763672,-54.30000305175781,,,0.000460000000000016,0.5554738674763624,0.56782,0.5689000000000001,0.5687800000000001,,0.044139999999999964,-72.27402114868164,220.0,0.10500210118642367,0.00666871527209878,-84.25625610351562,106.59362375736237,0.010560607425507391
199,sub-839065578_ses-843377193_icephys.nwb,0.07479097647701882,8.000160003200065,0.05786000000000002,0.5290256047142977,0.05066000000000004,0.1220485714285714,0.10948000000000002,80.0,-37.26250457763672,34.49374771118164,-53.87500381469727,-53.7750015258789,,,0.0008399999999999519,1.0781696306380084,0.8454799999999999,0.8477399999999999,0.8479800000000001,,0.4545199999999999,-66.00852890014649,40.0,0.13000259604648828,0.1020849347114563,-96.9437484741211,267.34378933906555,0.027385485779930916
200,sub-660204570_ses-661189412_icephys.nwb,0.06112322011411608,15.000300006000122,0.019039999999999942,0.4605409843221305,0.026699999999999943,0.05212428571428572,0.04920000000000002,119.99999237060548,-34.4375,31.5,-44.96875,-44.75,,,0.0006599999999998829,1.0561517190650116,0.57298,0.5751200000000001,0.5753199999999999,,0.10348000000000003,-64.12059148152669,80.0,0.3662573568329671,0.21879942715168,-87.00000762939453,190.46886265277863,0.01797551070788619
201,sub-815493543_ses-818023157_icephys.nwb,0.005961992095476541,34.000680013600274,0.017039999999999944,0.4094864315638659,0.060980000000000034,0.02617333333333333,0.02498,420.0,-31.931251525878906,23.08125114440918,-54.25,-53.89375305175781,,,0.00038000000000004697,0.540727728619946,0.8031200000000001,0.8042,0.804,,0.18542000000000006,-70.18818005648527,380.0,0.466177865166587,0.08833915740251541,-80.2125015258789,85.28252691030501,0.005754049401536589
202,sub-819254351_ses-823702793_icephys.nwb,0.01495044468137792,30.000600012000245,0.02059999999999995,0.2349552677906785,0.015920000000000045,0.033046206896551716,0.032739999999999984,180.0,-34.44375228881836,26.78750038146973,-49.58125305175781,-48.1875,-49.58125305175781,,0.00038000000000004697,0.7337924244491961,0.54082,0.5420400000000001,0.54682,0.54682,0.046459999999999946,-65.48801676432292,140.0,0.7026456318600054,0.0424622967839241,-81.07499694824219,146.4064419269562,0.009130462467525665
203,sub-660204570_ses-661318815_icephys.nwb,0.15896908194361645,6.000120002400049,0.018799999999999928,0.4720672651835967,0.02073999999999998,0.037372,0.03194000000000008,119.99999237060548,-37.3125,36.21875,-51.71875381469727,-51.59375,,,0.0006399999999999738,0.9422680044901968,0.54708,0.5486199999999999,0.5485399999999999,,0.06342000000000003,-61.41864585876465,80.0,0.24135100300105314,0.12890934944152832,-80.28125,159.37499701976773,0.019203960779787997
204,sub-737379123_ses-741988253_icephys.nwb,0.02796219569597271,17.000340006800133,0.03476000000000001,0.2333365090425527,0.03932000000000002,0.05896499999999999,0.060010000000000015,80.0,-40.71249771118164,19.60624885559082,-56.2437515258789,-52.70000076293945,-56.2437515258789,,0.0005600000000000048,0.9063103337339188,0.64842,0.64998,0.66996,0.66996,0.41582,-68.84558296203613,40.0,0.32000639268919273,0.09569640457630156,-89.59375,236.71855032444,0.030957008552854087
205,sub-750787657_ses-754795458_icephys.nwb,,2.0000400008000163,0.032499999999999966,0.0,0.017060000000000075,0.032499999999999966,0.032499999999999966,160.0,-41.30000305175781,30.48749923706055,-52.93124771118164,-52.92500305175781,,,0.0005600000000000048,0.9289956073988986,0.54088,0.5423399999999999,0.54232,,,-63.97084474563599,119.99999237060548,0.030000596960181456,0.15366648137569427,-73.8375015258789,130.31253218650818,0.014498588296659412
206,sub-732239870_ses-738428675_icephys.nwb,0.17063974330474554,7.000140002800058,0.03272000000000008,0.5726423490979641,0.008079999999999976,0.14936666666666668,0.14719000000000002,180.0,-46.96875,39.94375228881836,-47.64374923706055,-47.11874771118164,-47.64374923706055,-45.81250381469727,0.0005999999999999339,1.1842839332127555,0.5153399999999999,0.5169400000000001,0.53058,0.53058,0.4312400000000001,-77.60768000284831,140.0,0.10000200004000072,0.08500571548938751,-92.20624542236328,176.71851813793182,0.009582231926413672
