ephys_session_id,adapt,avg_rate,first_isi,isi_cv,latency,mean_isi,median_isi,stim_amp,threshold_v,peak_v,trough_v,fast_trough_v,slow_trough_v,adp_v,width,upstroke_downstroke_ratio,peak_t,fast_trough_t,trough_t,slow_trough_t,rheo_first_isi,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau
720828324,0.136984365,4.000080002,0.17248,0.217674245,0.07186,0.242566667,0.2553,180,-30.46875,50.25,-49.00000381,-44.56250381,,,0.00106,1.39534712,0.68528,0.68848,0.7353,,,-72.62413559,140,0.0885732,0.027164392,-86.96875763,162.6562774,0.021102694
700798753,0.040118712,7.000140003,0.10228,0.146255033,0.0915,0.143173333,0.1469,180,-40.87500381,34.40625381,-53.46875381,-48.5,,,0.00164,2.105701822,0.84318,0.84768,0.9167,,,-79.42748469,140,0.091966125,0.004927536,-93,138.4374648,0.024419359
758287364,0.052269282,10.0002,0.04806,0.208226987,0.05664,0.098011111,0.1057,150,-35.04999924,56.11250305,-47.76875305,-47.70624924,,,0.001,1.393488704,0.6505,0.6531,0.6532,,0.54526,-71.92970276,110,0.1700034,0.071479753,-81.93125916,128.90625,0.01818253
596898822,,2.000040001,0.34926,0,0.19868,0.34926,0.34926,170,-35.71875,51.34375381,-48.40625,-44.4375,-48.40625,-43.5625,0.0008,1.242045326,0.72372,0.72596,0.79274,0.79274,0.42266,-75.64661102,130,0.109798384,0.013973294,-90.59375763,124.6094331,0.02124198
700820972,0.06046936,3.000060001,0.37072,0.06046936,0.06924,0.39458,0.39458,310,-41.03125381,48.25,-57.90625,-51.21875,,,0.00092,1.350979903,0.69276,0.69522,0.75352,,,-76.3253535,270,0.076885534,0.084385745,-83.625,55.93749881,0.016834986
768891275,0.341811718,6.000120002,0.00648,0.754681104,0.05316,0.178796,0.27004,130,-37.54375076,53.30625153,-44.70625305,-44.68750381,,,0.00084,1.300491631,0.6122,0.61412,0.61408,,0.00806,-65.22532862,90,0.109484948,0.225810722,-78.27500153,112.499997,0.020902462
696106559,0.362980769,3.000060001,0.0106,0.362980769,0.042,0.01664,0.01664,260,-41.40625,53.125,-54.93750381,-54.90625381,,,0.001,1.488800388,0.5611,0.56362,0.56356,,0.0114,-68.30700779,220,0.069356226,0.065889984,-75.96875763,68.59374791,0.016190169
712886987,0.085708522,15.00030001,0.00748,0.394864337,0.03914,0.066881429,0.07804,90,-44.06250381,38.81250381,-51.78125381,-51.78125381,,,0.00094,1.301144985,0.60312,0.60524,0.60524,,0.0255,-64.64753215,50,0.216283395,0.202884704,-80.53125763,156.2501043,0.023769803
732773423,,1.00002,,,0.08666,,,220,-37.09375,50.28125381,-54.21875381,-48.59375381,,,0.00094,1.379643769,0.69746,0.69978,0.79716,,,-65.63850975,180,0.054858917,0.11799375,-72.21875,50.93749985,0.026839331
591442353,0.073685588,6.000120002,0.1114,0.183505609,0.08508,0.164284,0.16646,110,-40.81250381,47.3125,-50.5,-47.34375381,-50.5,-44.4375,0.00082,1.249802328,0.65776,0.65994,0.7088,0.7088,0.23752,-69.78947186,59.99999619,0.090952998,0.016332656,-90.34375,161.9791687,0.030955047
592531937,0.059055013,13.00026001,0.02584,0.354818513,0.02318,0.076355,0.08877,70,-36.53125,40.15625381,-51.4375,-51.375,,,0.0015,2.164758106,0.57782,0.58226,0.58246,,0.03976,-57.33069272,29.99999809,0.165220693,0.040968798,-86.21875,571.8747973,0.048135237
732095848,0.216475716,6.000120002,0.01918,0.443396827,0.08682,0.142952,0.16266,130,-40.28125,46.78125381,-56.50000381,-51.21875,,,0.00098,1.457882621,0.84466,0.84712,0.93008,,,-75.40200233,90,0.109389954,0.035177719,-89.21875,104.5311689,0.023895852
737795448,0.284111333,7.000140003,0.00628,1.253011512,0.05748,0.118533333,0.02359,130,-40.29999924,49.76875305,-47.18750381,-47.14374924,,,0.0009,1.402294053,0.6184,0.62068,0.62078,,0.00788,-63.87797546,90,0.1150023,0.122529902,-71.33124542,99.37476367,0.024300573
758785479,0.287012386,5.000100002,0.01614,0.564044393,0.04952,0.1807,0.20544,170,-42.92499924,43.28750229,-55.77500153,-55.71875381,,,0.00102,1.365933126,0.60552,0.6081,0.6082,,,-69.00837453,119.9999924,0.088786811,0.010517989,-77.01250458,93.72169524,0.027892663
767421958,0.200573066,3.000060001,0.00558,0.200573066,0.04912,0.00698,0.00698,170,-28.12500191,41.86875153,-33.90625,-33.87500381,,,0.00106,1.344636884,0.61978,0.62202,0.62208,,0.00682,-52.12072372,130,0.029310931,0.15537703,-58.46875,88.43754977,0.01633205
