cell_specimen_id,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau,hero_adapt,hero_avg_rate,hero_first_isi,hero_isi_cv,hero_latency,hero_mean_isi,hero_median_isi,hero_stim_amp,rheo_threshold_v,rheo_trough_v,rheo_fast_trough_v,rheo_slow_trough_v,rheo_adp_v,rheo_width,rheo_upstroke_downstroke_ratio,rheo_peak_t,rheo_fast_trough_t,rheo_trough_t,rheo_slow_trough_t,rheo_peak_v,qc_blowout_mv,qc_electrode_0_pa,qc_recording_date,qc_seal_gohm,qc_input_resistance_mohm,qc_initial_access_resistance_mohm,qc_input_access_resistance_ratio,file_id,file_name
770611354,-79.08551788330078,130.0,0.1650033000660013,0.007618858944624662,-87.64375305175781,107.81249403953552,0.018136870245657438,0.030282952319331213,9.000180003600073,0.07304,0.12325565669406273,0.07028000000000001,0.10338249999999996,0.10837999999999998,170.0,-41.51875305175781,-57.6500015258789,-53.4625015258789,-57.6500015258789,,0.0009400000000000519,1.2600642167905365,0.70936,0.7117600000000001,0.7554000000000001,0.7554000000000001,46.36249923706055,,-61.07500076293945,2018-10-31 03:37:36,1.749461888,121.38708000000001,15.228291,0.12545232161445846,770611326,sub-770227957_ses-770611326_icephys.nwb
611616275,-73.85196933230839,190.0,0.07394087292499299,0.017477555200457573,-84.03125762939453,86.58860623836517,0.02130250985200248,,1.0000200004000082,,,0.18408,,,230.0,-37.0,-50.78125381469727,-49.09375381469727,-50.78125381469727,-45.96875381469727,0.0006999999999999228,1.0993460398570192,0.7667999999999999,0.76874,0.8137399999999999,0.8137399999999999,51.84375,,-30.04999923706055,2017-08-22 04:39:59,1.258797696,84.89211999999998,6.3566145,0.07487873432775623,611616224,sub-611526465_ses-611616224_icephys.nwb
672650722,-80.89384536743164,200.0,0.07780327800074119,0.04436367005109787,-88.96875,64.84375149011612,0.01667787954657688,0.06273755432957641,8.000160003200065,0.062479999999999876,0.19947641117453765,0.07684000000000002,0.12141714285714285,0.12938000000000005,239.9999847412109,-37.15625,-51.21875,-47.18750381469727,-51.21875,-46.40625,0.0008399999999999519,1.3215016518290907,0.6714199999999999,0.67408,0.7190399999999999,0.7190399999999999,46.53125381469727,,47.95249938964844,2018-03-14 01:13:33,3.585694976,97.6702,5.941744,0.0608347684349986,672650708,sub-672637567_ses-672650708_icephys.nwb
758763848,-60.09225802951389,150.0,0.029310931046207123,0.024248147383332253,-69.51875305175781,89.21889960765839,0.032979579227618995,,1.0000200004000082,,,0.06646000000000007,,,190.0,-27.63125038146973,-41.92500305175781,-38.66875076293945,,,0.0010200000000000207,1.4598226320121492,0.6510400000000001,0.6539400000000001,0.70618,,63.162498474121094,,-102.69625091552734,2018-09-26 19:42:47,1.146001024,91.85536,7.78989,0.08480604724645356,758763787,sub-758233315_ses-758763787_icephys.nwb
592558182,-66.52550106956845,50.0,0.14844046880937614,0.07564365118741989,-87.00000762939453,163.26932609081268,0.03981801628357157,0.3211399815210041,6.000120002400049,0.009820000000000162,1.0664113260196313,0.05851999999999991,0.13204800000000005,0.032299999999999995,90.0,-46.59375,-60.71875381469727,-60.68750381469727,,,0.0009400000000001627,1.2991091682104607,0.67272,0.6751799999999999,0.6754199999999999,,41.9375,,-10.417499542236328,2017-05-31 19:45:09,2.791191808,127.554112,10.922061,0.08562688280876432,592558145,sub-592433014_ses-592558145_icephys.nwb
758294434,-67.06454467773439,100.0,0.1400027970041795,0.007642071694135666,-76.79999542236328,115.7810166478157,0.016977576389965252,0.0608520987874521,8.000160003200065,0.07250000000000001,0.18834157629889964,0.0806,0.12853142857142855,0.1361199999999999,140.0,-25.98750114440918,-41.0,-35.95625305175781,-41.0,,0.0010200000000000207,1.3028892316134844,0.73236,0.7350800000000001,0.79576,0.79576,49.25000381469727,,40.084999084472656,2018-09-26 03:56:26,2.178072832,110.154712,7.074086500000001,0.0642195542211576,758294414,sub-758233315_ses-758294414_icephys.nwb
732063466,-70.50877107892718,160.0,0.07842262126364323,0.038267124444246285,-80.28125,88.90625089406967,0.01866631621322937,0.2757177609227783,6.000120002400049,0.00641999999999987,0.7764294882586925,0.08190000000000007,0.156528,0.23918000000000014,200.0,-33.687503814697266,-42.1875,-42.15625381469727,,,0.0008999999999999008,1.297301226911339,0.6681199999999999,0.6700999999999999,0.67008,,50.62500381469727,,79.3125,2018-08-08 02:07:22,0.9996434559999999,88.74570399999998,5.748058,0.064769985936446,732063450,sub-731978186_ses-732063450_icephys.nwb
732791579,-66.6847681681315,180.0,0.04723624010444029,0.1053532063961029,-72.68750762939453,42.34374687075615,0.022013560190168296,0.5476679810237652,4.000080001600033,0.009100000000000108,0.7064373219162674,0.09179999999999988,0.2810000000000001,0.3564400000000001,220.0,-34.031253814697266,-41.59375381469727,-41.53125381469727,,,0.001000000000000112,1.5818730227716924,0.6633,0.66598,0.6660200000000001,,48.5,,96.80750274658205,2018-08-08 22:04:02,1.803759616,50.224624,5.4852745,0.10921484449540132,732791475,sub-731978186_ses-732791475_icephys.nwb
591399440,-62.48375199970446,29.99999809265137,0.07972848446860424,0.02793821878731251,-99.50000762939452,461.0795676708221,0.06145405238539811,0.3333022810152537,4.000080001600033,0.03550000000000009,0.4860412734322353,0.040399999999999985,0.09387999999999996,0.0992599999999999,70.0,-36.03125,-50.37500381469727,-50.21875381469727,,,0.001480000000000148,2.3598605345732047,0.6153200000000001,0.61978,0.6203000000000001,,45.21875,,1.9450000524520876,2017-05-24 18:13:26,2.3507537920000003,311.635872,9.217228,0.029576915971984124,591399423,sub-591270122_ses-591399423_icephys.nwb
770369798,-64.75291213989257,140.0,0.13191753196766054,0.13297270238399506,-70.91875457763672,78.4374177455902,0.015515371365352,0.24351688000769198,6.000120002400049,0.011319999999999995,0.4744772436895824,0.048700000000000083,0.181704,0.22027999999999992,180.0,-41.3125,-49.38750457763672,-49.33125305175781,,,0.0009799999999999807,1.5195432681318355,0.6150800000000001,0.61778,0.618,,55.07500457763672,,-31.18625068664551,2018-10-30 23:55:24,3.5547077120000004,77.128416,5.3542875,0.06942042605931385,770369639,sub-770227957_ses-770369639_icephys.nwb
