"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","GABAergic","Astro","Endo","Glutamatergic","Macrophage","Oligo","Peri","SMC","VLMC","QC_pass","high_micro"
"4353","SM-J39RO_S275_E1-50","GABAergic","Vip_on",234.987819282694,1.06716400713896,NA,0.433088889763894,Inf,0.109247874178062,NA,0.521177802073489,0.0735020210943831,-0.0124262623662464,NA,NA,-0.00983425393251667,TRUE,FALSE
"4354","SM-J39S6_S190_E1-50","GABAergic","Lamp5_on",173.008939999559,0.785695676671141,NA,0.373620475485711,-Inf,0.283899255940297,NA,0.143698289820616,0.0965825021161572,0.00501752611321385,NA,NA,0.0287859581084201,TRUE,FALSE
"4355","SM-J39T2_S314_E1-50","GABAergic","Lamp5_on",187.890678836181,0.853278992685406,NA,0.352885890953048,-Inf,0.15897303014205,NA,0.300095098110371,0.19423197864108,0.0305748992921112,NA,NA,0.0128650979384862,TRUE,FALSE
"4356","SM-J39TJ_S267_E1-50","GABAergic","Sncg_on",199.853785729781,0.907607753764921,NA,0.366065494382022,-Inf,0.120935287201962,NA,0.00529409400433499,0.0902056080524207,0.0901444289424652,NA,NA,-0.000682828542261951,TRUE,FALSE
"4357","SM-J39TJ_S268_E1-50","GABAergic","Sst_on",187.555270191861,0.851755781678154,NA,0.321154266811066,-Inf,0.207988193146235,NA,0.0666409020368738,0.481055478071641,0.0861995510114907,NA,NA,0.0377043894087108,TRUE,FALSE
"4358","SM-J39TJ_S269_E1-50","GABAergic","Sst_on",179.918822866157,0.817075934215083,NA,0.315464110101275,-Inf,0.0642590476079995,NA,0.0856906972486945,0.36355385898022,0.0166372612891244,NA,NA,0.0268787317674681,TRUE,FALSE
"4359","SM-J39TJ_S270_E1-50","GABAergic","Sncg_on",228.569148825648,1.03801452140665,NA,0.33629528173466,Inf,0.101094667529742,NA,-0.00406297329904196,0.456074040030129,0.0306699660094625,NA,NA,0.0230027772375766,TRUE,FALSE
"4360","SM-J39TJ_S272_E1-50","GABAergic","Sncg_on",279.286004379259,1.26833796101,NA,0.246909719474272,Inf,0.0413561835877068,NA,-0.0702727924804853,0.641714465892891,0.0523154364686477,NA,NA,0.0132628130973048,TRUE,TRUE
"4361","SM-J39TJ_S273_E1-50","GABAergic","Sncg_on",255.385366412736,1.15979658782993,NA,0.430013849598979,Inf,0.0385168871768203,NA,-0.0329278537011063,0.144279435862933,0.0203391971178592,NA,NA,-0.0233018625612644,TRUE,FALSE
"4362","SM-J39TJ_S274_E1-50","GABAergic","Sncg_on",257.794377118979,1.17073676986304,NA,0.385097769570787,Inf,0.275933593401787,NA,0.236742249067719,0.244735975315518,0.0479319488138466,NA,NA,0.0130922646882431,TRUE,FALSE
"4363","SM-J39TJ_S275_E1-50","GABAergic","Sncg_on",236.475550708722,1.0739203293815,NA,0.378351191514883,Inf,0.0966662111023281,NA,0.106817169754203,0.251940170881109,0.0463899967488164,NA,NA,0.0147246069199707,TRUE,FALSE
"4364","SM-J39TJ_S276_E1-50","GABAergic","Sncg_on",254.047275069431,1.15371983489781,NA,0.308562048686368,Inf,0.253412264401756,NA,0.217397361932382,0.63520364607894,0.113771641261289,NA,NA,0.0190450398298518,TRUE,TRUE
"4365","SM-J39TJ_S277_E1-50","GABAergic","Sncg_on",266.434132657173,1.20997299993226,NA,0.489717708934722,Inf,0.118033041189002,NA,-0.0877266340959182,0.0496222844009249,0.0489152099343379,NA,NA,-0.0125268204918583,TRUE,FALSE
"4366","SM-J39TJ_S278_E1-50","GABAergic","Sncg_on",262.805845981059,1.19349564821186,NA,0.311963429208399,Inf,0.288545220070189,NA,0.0750495063724656,0.415688230334873,0.0755204742565649,NA,NA,0.00420935547726534,TRUE,FALSE
"4367","SM-J39TJ_S280_E1-50","GABAergic","Sst_on",169.693898502531,0.770640883709536,NA,0.246332082822596,-Inf,0.137021040214913,NA,0.531445331726699,0.490009851373078,0.0557173778265521,NA,NA,0.0204408957686729,TRUE,FALSE
"4368","SM-J39TJ_S281_E1-50","GABAergic","Sst_on",204.640004185724,0.929343689193734,NA,0.325739348651324,-Inf,0.338909508736163,NA,0.376306958895171,0.549769855356031,0.0926233751972419,NA,NA,0.0198441803988074,TRUE,FALSE
"4369","SM-J39TJ_S285_E1-50","GABAergic","Sst_on",156.826358293553,0.71220476641056,NA,0.332384665435949,-Inf,0.0795513649275547,NA,0.0858325845234856,0.0788782749630654,-0.00827216719886129,NA,NA,0.0202752995284679,TRUE,FALSE
"4370","SM-J39TJ_S287_E1-50","GABAergic","Sst_on",190.753469161855,0.866279950798345,NA,0.358303531971512,-Inf,0.276446433493627,NA,0.535680924393274,0.393512396993386,0.0486119393882117,NA,NA,0.0575525132517616,TRUE,FALSE
"4371","SM-J39VK_S019_E1-50","GABAergic","Sst_on",187.276420243627,0.850489424004569,NA,0.439473713811345,-Inf,0.184152250329851,NA,0.0191744668245076,0.0304672264857276,0.0327320868111954,NA,NA,0.0140464387479845,TRUE,FALSE
"4372","SM-J39VK_S041_E1-50","GABAergic","Sst_on",166.05367174367,0.754109307788967,NA,0.396080214087074,-Inf,-0.000779108880386554,NA,0.0118101929186079,0.00336917463338874,0.0640780453273372,NA,NA,0.00135831086059638,TRUE,FALSE
